File,,Mean_4,Mean_5,Mean_6,Mean_7,Mean_10,Mean_11,Mean_12,Mean_13,Mean_14,Mean_15,Mean_16,Mean_17,Mean_18,Mean_24,Mean_26,Mean_28,Mean_30,Mean_43,Mean_44,Mean_45,Mean_46,Mean_49,Mean_50,Mean_51,Mean_52,Mean_53,Mean_54,Mean_58,Mean_60,Mean_85,Mean_91,Mean_92,Mean_630,Mean_631,Mean_632,Mean_1002,Mean_1003,Mean_1005,Mean_1006,Mean_1007,Mean_1008,Mean_1009,Mean_1010,Mean_1011,Mean_1012,Mean_1013,Mean_1014,Mean_1015,Mean_1016,Mean_1017,Mean_1018,Mean_1019,Mean_1020,Mean_1021,Mean_1022,Mean_1023,Mean_1024,Mean_1025,Mean_1026,Mean_1027,Mean_1028,Mean_1029,Mean_1030,Mean_1031,Mean_1034,Mean_1035,Mean_2002,Mean_2003,Mean_2005,Mean_2006,Mean_2007,Mean_2008,Mean_2009,Mean_2010,Mean_2011,Mean_2012,Mean_2013,Mean_2014,Mean_2015,Mean_2016,Mean_2017,Mean_2018,Mean_2019,Mean_2020,Mean_2021,Mean_2022,Mean_2023,Mean_2024,Mean_2025,Mean_2026,Mean_2027,Mean_2028,Mean_2029,Mean_2030,Mean_2031,Mean_2034,Mean_2035
,Code,4,5,6,7,10,11,12,13,14,15,16,17,18,24,26,28,30,43,44,45,46,49,50,51,52,53,54,58,60,85,91,92,630,631,632,1002,1003,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1034,1035,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2034,2035
,Structure Name,left lateral ventricle,left inferior lateral ventricle,left cerebellum exterior,left cerebellum white matter,left thalamus proper,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,Brain stem,left hippocampus,left amygdala,CSF,left accumbens area,left ventral DC,left vessel,right lateral ventricle,right inferior lateral ventricle,right cerebellum exterior,right cerebellum white matter,right thalamus proper,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC,optic chiasm,left basal forebrain,right basal forebrain,cerebellar vermal lobules I-V,cerebellar vermal lobules VI-VII,cerebellar vermal lobules VIII-X,left caudal anterior cingulate,left caudal middle frontal,left cuneus,left entorhinal,left fusiform,left inferior parietal,left inferior temporal,left isthmus cingulate,left lateral occipital,left lateral orbitofrontal,left lingual,left medial orbitofrontal,left middle temporal,left parahippocampal,left paracentral,left pars opercularis,left pars orbitalis,left pars triangularis,left pericalcarine,left postcentral,left posterior cingulate,left precentral,left precuneus,left rostral anterior cingulate,left rostral middle frontal,left superior frontal,left superior parietal,left superior temporal,left supramarginal,left transverse temporal,left insula,right caudal anterior cingulate,right caudal middle frontal,right cuneus,right entorhinal,right fusiform,right inferior parietal,right inferior temporal,right isthmus cingulate,right lateral occipital,right lateral orbitofrontal,right lingual,right medial orbitofrontal,right middle temporal,right parahippocampal,right paracentral,right pars opercularis,right pars orbitalis,right pars triangularis,right pericalcarine,right postcentral,right posterior cingulate,right precentral,right precuneus,right rostral anterior cingulate,right rostral middle frontal,right superior frontal,right superior parietal,right superior temporal,right supramarginal,right transverse temporal,right insula
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051456_anat_thickness.nii.gz,Caltech_0051456,0.003516,0.298524,0.057368,0.000014,0.006798,0,0.000006,0,0,0,0.000035,2.143078,4.361904,0,0,0.02093,0,0.001658,0.917842,0.043058,0.000011,0.004119,0,0,0,2.072381,4.437708,0.000054,0.015684,0,0.009436,0.000467,0.000363,0,0,2.63764,1.409767,0.8829,2.910582,2.72246,1.698273,2.839482,2.33734,2.191218,1.916857,1.352624,2.302461,2.722141,1.733869,0.809975,1.783287,1.857446,1.785746,0.445943,0.928828,2.152233,0.953255,1.861979,3.329792,2.029464,1.767212,0.994223,1.963704,1.551415,1.900726,3.501745,2.589612,1.398267,1.162393,3.082613,2.44897,2.017021,2.621701,2.429689,1.87202,2.062279,1.779893,2.776328,2.301639,1.74396,0.808634,1.519721,1.89261,1.552305,0.941223,0.812453,2.655776,0.928834,2.352489,3.362985,1.851378,1.658845,1.073474,1.603264,1.35022,1.674488,3.353923
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051457_anat_thickness.nii.gz,Caltech_0051457,0.00266,1.827818,0.134634,0.000057,0.005143,0,0,0,0,0,0.000547,2.375165,4.68567,0,0,0.032917,0,0.001762,1.266401,0.116653,0.000002,0.004042,0,0.000093,0,2.486733,4.825966,0.000018,0.022454,0,0.015461,0,0.003521,0,0,3.432221,2.052966,1.49429,3.267904,3.570654,2.848724,3.579702,2.707883,3.10579,2.837158,2.429622,2.972926,3.638243,1.767608,1.569838,2.135545,2.444179,2.436694,1.262493,1.485118,3.12299,1.484961,2.532858,4.569694,3.068367,2.450031,1.557948,2.722806,2.396285,3.018816,3.872971,3.446743,2.327624,2.39377,3.648007,3.708215,2.923304,3.741815,2.841608,2.622916,2.964235,2.797847,3.241034,3.39969,2.125246,1.394905,1.886681,2.644227,2.337336,2.21532,1.410711,3.611695,1.330917,2.707226,4.014149,2.935184,2.663556,1.615574,2.32389,2.200871,2.055939,4.562921
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051458_anat_thickness.nii.gz,Caltech_0051458,0.005064,1.246363,0.098738,0.000106,0.003594,0,0,0.000085,0,0,0.000356,2.492668,4.760617,0,0,0.030569,0,0.017156,1.257793,0.087718,0,0.001758,0,0.000057,0,2.730859,4.610972,0.000532,0.026543,0,0.008053,0,0.000577,0.00026,0,2.973802,1.021108,1.308884,3.458491,2.818519,2.151191,2.80597,2.427768,2.127944,2.208213,1.897829,2.533824,2.855436,1.755913,1.16204,1.769677,1.735063,1.708499,1.338456,1.08075,2.712181,1.112657,2.17101,4.069391,1.96147,1.482281,1.249242,1.942557,1.906871,2.31584,2.89471,3.161465,1.307526,0.930039,3.446766,3.245955,2.515518,2.789162,2.441585,2.103695,2.351632,2.444695,2.961089,2.806801,1.977099,1.092133,1.758277,2.04829,1.696081,1.478506,1.0726,2.7628,1.173094,2.170702,3.78251,2.060841,1.437064,1.234312,1.6204,2.068128,2.012088,3.28039
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051459_anat_thickness.nii.gz,Caltech_0051459,0.01614,1.750738,0.085608,0.000011,0.002236,0,0,0,0,0,0.000291,2.541758,4.252226,0,0,0.022876,0,0.011617,0.980812,0.082606,0,0.001815,0,0,0,2.31085,4.443338,0.000544,0.032598,0,0.011096,0,0.000209,0.000009,0,3.283337,2.287551,1.55677,3.095259,3.207422,2.780934,3.022002,2.636373,2.978218,2.909904,1.410067,2.879422,3.307765,2.514064,1.531905,2.617474,2.696082,2.205162,0.772346,1.413028,2.934875,1.922094,2.345539,4.087419,2.607766,2.568485,1.897071,2.582582,2.591274,2.12915,3.931534,3.101061,2.106089,1.600377,3.00294,3.221924,3.068557,3.049986,3.015962,2.5276,3.034483,1.430149,3.079168,3.295144,2.688929,1.212218,2.494073,2.627698,2.404204,0.79002,1.53759,2.976215,1.751515,2.315496,3.595124,2.699667,2.426045,1.763182,2.326061,2.330001,2.385767,4.082162
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051460_anat_thickness.nii.gz,Caltech_0051460,0.026763,1.583304,0.147323,0.000086,0.00329,0,0.000004,0,0,0,0.000427,2.43589,4.500761,0,0,0.012438,0,0.019378,0.433371,0.116272,0.000014,0.002026,0,0.000009,0,2.525592,4.547896,0.000055,0.015783,0,0.008974,0,0.001931,0,0,2.969855,1.642757,1.457227,3.38015,2.819168,2.305604,2.626767,2.780439,2.393009,2.688697,1.812642,2.859008,3.092971,2.363985,0.943375,2.038116,2.124852,1.960631,1.302841,1.324661,2.570357,1.271283,1.721137,3.483678,2.603404,1.810724,1.098173,2.174391,2.125253,2.180752,3.168322,2.853047,1.69338,1.522746,3.022603,3.105752,2.385807,3.023344,2.769625,2.30222,2.672909,2.181499,3.003262,3.017471,2.313743,0.967756,2.07834,2.46148,2.260527,2.100562,1.381243,2.66248,1.37679,1.867513,3.4177,2.667243,1.825238,1.041602,1.974113,2.025943,2.024887,3.443136
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051461_anat_thickness.nii.gz,Caltech_0051461,0.000786,0.139225,0.033167,0.000002,0.004283,0.000003,0,0,0,0,0.000238,1.831141,4.219975,0,0,0.012635,0,0.000695,0.488131,0.031128,0.000002,0.00179,0.000003,0,0,1.942282,4.092101,0,0.012137,0,0.017971,0,0.000173,0,0,2.258331,1.437823,0.865485,3.761799,1.499207,1.761036,2.865249,1.819039,1.91466,2.70625,1.036574,3.258621,2.863748,1.660668,0.825909,1.943346,1.759466,2.059788,0.923222,1.119958,1.891223,1.060865,1.418811,3.782939,2.02679,1.666595,0.715867,2.263053,1.50543,1.16498,3.119766,1.921787,1.089781,1.064313,3.654289,2.482578,1.982069,3.113341,2.320611,1.364419,2.597222,1.145121,2.907868,2.685333,1.83939,0.795331,1.669691,1.995603,1.529857,1.018586,1.084626,2.144279,0.866738,1.729518,3.213241,2.32885,1.623677,0.723714,2.08686,1.785471,2.369449,3.871784
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051462_anat_thickness.nii.gz,Caltech_0051462,0.016398,2.052265,0.133292,0.000188,0.00416,0,0,0,0,0,0.000741,2.692362,4.9408,0,0,0.031823,0,0.009727,1.10083,0.086121,0,0.003714,0,0,0,2.603729,5.052237,0.000072,0.021668,0,0.006228,0,0.001971,0,0,4.022572,2.433662,1.185139,3.928363,3.393175,2.803886,3.205162,2.617109,2.333727,2.987906,2.059929,3.229325,4.026354,2.836481,1.346502,2.96093,2.765031,2.926828,1.388125,1.595982,3.128343,1.795585,1.803106,4.51516,3.033739,2.205403,1.302651,2.910279,2.800149,2.893239,4.277995,3.088474,2.377697,1.236129,3.583768,3.602976,2.9846,3.394407,2.810514,2.607438,2.961477,2.505188,3.124561,3.501964,2.475622,1.169183,2.511108,2.898741,2.619372,2.120585,1.620816,3.131519,1.638469,2.675457,3.706658,2.831827,2.349954,1.189379,2.530544,2.544297,2.459406,4.593925
/data/Projects/ABIDE_Initiative/Outputs/ants/anat_thickness/Caltech_0051463_anat_thickness.nii.gz,Caltech_0051463,0.013742,1.873868,0.125172,0.000048,0.003103,0,0.000025,0,0,0,0.000105,2.494347,5.453176,0,0,0.024007,0,0.002354,1.458602,0.100426,0.000027,0.004435,0,0,0,2.50966,5.548714,0,0.021297,0,0.004285,0,0.001026,0.000008,0,3.59113,2.276488,1.120931,3.801782,2.358567,2.749806,2.504305,2.759435,2.451563,2.720268,1.992327,3.140646,3.491667,1.814166,1.197202,2.623724,2.847,2.870482,1.308786,1.528241,3.049795,1.544498,2.028637,4.986176,3.000067,2.092553,1.024893,2.716473,2.704995,2.883415,4.695108,3.35777,2.541475,1.80509,3.810255,2.565156,3.136814,2.672386,3.406078,2.503128,2.909528,2.756305,3.253233,3.290715,1.668841,1.275364,2.612188,2.757416,2.81113,2.568098,1.553203,3.386525,1.810703,2.484384,4.217886,3.24212,2.458297,1.05523,2.688821,2.420398,2.736997,4.242268
