subject #,SITE_ID,Subject_ID,Has_Pheno,Has FSvol5.1,Has ANTthick,Has FSvol5.3
50002,PITT,Pitt_0050002,TRUE,TRUE,TRUE,TRUE
50003,PITT,Pitt_0050003,TRUE,TRUE,TRUE,TRUE
50004,PITT,Pitt_0050004,TRUE,TRUE,TRUE,TRUE
50005,PITT,Pitt_0050005,TRUE,TRUE,TRUE,TRUE
50006,PITT,Pitt_0050006,TRUE,TRUE,TRUE,TRUE
50007,PITT,Pitt_0050007,TRUE,TRUE,TRUE,TRUE
50008,PITT,Pitt_0050008,TRUE,TRUE,TRUE,TRUE
50009,PITT,Pitt_0050009,TRUE,TRUE,TRUE,TRUE
50010,PITT,Pitt_0050010,TRUE,TRUE,TRUE,TRUE
50011,PITT,Pitt_0050011,TRUE,TRUE,TRUE,TRUE
50012,PITT,Pitt_0050012,TRUE,TRUE,TRUE,TRUE
50013,PITT,Pitt_0050013,TRUE,TRUE,TRUE,TRUE
50014,PITT,Pitt_0050014,TRUE,TRUE,TRUE,TRUE
50015,PITT,Pitt_0050015,TRUE,TRUE,TRUE,TRUE
50016,PITT,Pitt_0050016,TRUE,TRUE,TRUE,TRUE
50017,PITT,Pitt_0050017,TRUE,TRUE,TRUE,FALSE
50019,PITT,Pitt_0050019,TRUE,TRUE,TRUE,TRUE
50020,PITT,Pitt_0050020,TRUE,TRUE,TRUE,TRUE
50022,PITT,Pitt_0050022,TRUE,TRUE,TRUE,TRUE
50023,PITT,Pitt_0050023,TRUE,TRUE,TRUE,TRUE
50024,PITT,Pitt_0050024,TRUE,TRUE,TRUE,TRUE
50025,PITT,Pitt_0050025,TRUE,TRUE,TRUE,TRUE
50026,PITT,Pitt_0050026,TRUE,TRUE,TRUE,TRUE
50027,PITT,Pitt_0050027,TRUE,TRUE,TRUE,TRUE
50028,PITT,Pitt_0050028,TRUE,TRUE,TRUE,TRUE
50029,PITT,Pitt_0050029,TRUE,TRUE,TRUE,TRUE
50030,PITT,Pitt_0050030,TRUE,TRUE,TRUE,TRUE
50031,PITT,Pitt_0050031,TRUE,TRUE,TRUE,TRUE
50032,PITT,Pitt_0050032,TRUE,TRUE,TRUE,TRUE
50033,PITT,Pitt_0050033,TRUE,TRUE,TRUE,TRUE
50034,PITT,Pitt_0050034,TRUE,TRUE,TRUE,TRUE
50035,PITT,Pitt_0050035,TRUE,TRUE,TRUE,TRUE
50036,PITT,Pitt_0050036,TRUE,TRUE,TRUE,TRUE
50037,PITT,Pitt_0050037,TRUE,TRUE,TRUE,TRUE
50038,PITT,Pitt_0050038,TRUE,TRUE,TRUE,TRUE
50039,PITT,Pitt_0050039,TRUE,TRUE,TRUE,TRUE
50040,PITT,Pitt_0050040,TRUE,TRUE,TRUE,TRUE
50041,PITT,Pitt_0050041,TRUE,TRUE,TRUE,TRUE
50042,PITT,Pitt_0050042,TRUE,TRUE,TRUE,TRUE
50043,PITT,Pitt_0050043,TRUE,TRUE,TRUE,TRUE
50044,PITT,Pitt_0050044,TRUE,TRUE,TRUE,TRUE
50045,PITT,Pitt_0050045,TRUE,TRUE,TRUE,TRUE
50046,PITT,Pitt_0050046,TRUE,TRUE,TRUE,TRUE
50047,PITT,Pitt_0050047,TRUE,TRUE,TRUE,TRUE
50048,PITT,Pitt_0050048,TRUE,TRUE,TRUE,TRUE
50049,PITT,Pitt_0050049,TRUE,TRUE,TRUE,TRUE
50050,PITT,Pitt_0050050,TRUE,TRUE,TRUE,TRUE
50051,PITT,Pitt_0050051,TRUE,TRUE,TRUE,TRUE
50052,PITT,Pitt_0050052,TRUE,TRUE,TRUE,FALSE
50053,PITT,Pitt_0050053,TRUE,TRUE,TRUE,TRUE
50054,PITT,Pitt_0050054,TRUE,TRUE,TRUE,TRUE
50055,PITT,Pitt_0050055,TRUE,TRUE,TRUE,TRUE
50056,PITT,Pitt_0050056,TRUE,TRUE,TRUE,TRUE
50057,PITT,Pitt_0050057,TRUE,TRUE,TRUE,TRUE
50058,PITT,Pitt_0050058,TRUE,TRUE,TRUE,TRUE
50059,PITT,Pitt_0050059,TRUE,TRUE,TRUE,TRUE
50060,PITT,Pitt_0050060,TRUE,TRUE,TRUE,TRUE
50102,OLIN,Olin_0050102,TRUE,TRUE,TRUE,TRUE
50103,OLIN,Olin_0050103,TRUE,TRUE,TRUE,TRUE
50104,OLIN,Olin_0050104,TRUE,TRUE,TRUE,TRUE
50105,OLIN,Olin_0050105,TRUE,TRUE,TRUE,TRUE
50106,OLIN,Olin_0050106,TRUE,TRUE,TRUE,TRUE
50107,OLIN,Olin_0050107,TRUE,TRUE,TRUE,TRUE
50108,OLIN,Olin_0050108,TRUE,TRUE,TRUE,TRUE
