SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
Caltech_51456,968,557,2488,1537,493,3391,4413,3410,1424,5148,2881,3031,2239,3423,894,1492,1873,627,1441,1214,4636,1223,5433,4234,876,6571,8263,6311,4048,4283,176,508,485,2566,1098,845,2743,1722,348,3160,5739,3017,1156,5532,2668,3099,2066,3545,760,1809,1462,662,1542,1551,4918,1568,5792,4083,564,7361,7561,5463,3901,3969,294,452,371,2713,2.41304,2.43881,92557.3,93533.7,1.83907e+06
Caltech_51457,1263,786,3470,1204,495,4605,5503,4309,1240,6969,3569,4072,2207,4373,808,2244,2044,887,1621,1205,5743,1226,6646,4416,1081,8560,9454,6603,4711,5188,291,573,663,2964,1037,1075,2786,1543,455,4595,6455,3502,1491,6574,3699,3291,2301,4296,878,1904,1705,1097,1872,1426,4794,1465,6925,4345,1205,10077,9229,6548,5325,4658,377,465,384,3133,2.51208,2.51454,110993,110913,1.9764e+06
Caltech_51458,1376,673,2374,1103,443,3537,5528,3383,1063,6199,2910,2907,2280,3618,1015,1448,2056,690,1566,917,3892,1417,5460,3465,971,6935,8516,4972,3904,4214,236,566,568,2326,1175,1058,2842,1163,418,3282,6325,3554,1040,4861,3034,2750,2153,3820,842,2031,1522,834,1297,1115,4124,1400,5679,3965,869,6989,7239,5651,3719,3680,320,485,373,2141,2.55639,2.54295,92529.2,91750.1,1.82314e+06
Caltech_51459,1275,877,2927,1539,484,3248,4499,4077,1184,6321,3468,2559,1953,4164,824,1775,2263,780,1463,1437,4507,1727,5957,4129,840,6523,9206,6213,4450,5168,211,479,506,2510,887,1036,1727,1997,385,3571,5040,3609,1256,6320,3113,2806,2185,4181,651,1681,1738,971,2095,1600,4581,1710,7168,4492,822,7202,8137,6177,4302,4097,371,431,420,2373,2.68098,2.70676,99542.2,99131.3,1.75687e+06
Caltech_51460,1033,726,2639,1795,507,3210,4352,3713,1116,6441,2981,3397,2040,3637,844,1430,1743,728,1365,1742,4522,1127,5084,3188,890,6933,8320,6026,4053,4131,198,414,638,2330,877,1060,2382,1875,366,3489,5605,3317,883,5616,2962,3749,2026,3325,611,1303,1644,903,1373,2022,4132,1368,5701,3533,918,6921,7804,6523,3665,3381,353,420,333,2326,2.4152,2.43221,93295.2,92765.9,1.66698e+06
Caltech_51461,1262,437,2461,1339,441,3134,6203,4020,1113,5149,3086,2596,2145,3058,781,1708,2249,567,1536,1367,4867,1001,5696,4397,613,5355,9210,5534,2806,3964,279,560,491,2575,1203,565,2865,1419,360,3218,4807,3160,807,5340,2846,2688,2037,3873,687,1808,2006,796,1342,1380,4740,1074,5473,4355,882,6840,8525,5562,3728,4167,270,377,341,2603,2.52585,2.54538,91998.6,92145.7,1.87211e+06
Caltech_51462,1176,1078,4105,1594,598,3746,4625,4098,979,5819,3341,3123,2372,3181,835,1605,2060,686,1233,1711,4583,1557,6420,4296,1035,6070,8497,4968,4810,5086,261,470,672,2398,1355,835,3853,1473,400,3859,5477,4082,967,6125,3070,3079,2419,4186,816,1728,1618,780,1521,1656,4538,1267,6216,4240,804,7742,9367,5711,4107,4379,324,536,450,2283,2.75693,2.77327,99087.6,101262,1.8646e+06
Caltech_51463,1461,783,3311,1540,357,3922,4452,3395,1032,5538,3052,3179,2070,3266,688,1487,1966,637,1172,1341,4205,1411,5436,4008,1044,7190,8630,5455,4700,4945,238,545,475,2362,1041,811,2643,1763,281,3333,6196,3983,996,5303,2921,3039,2061,3788,747,1713,1694,801,1358,1580,4324,1085,5281,3977,824,7953,8724,5622,4196,3579,318,476,422,2642,2.70105,2.74417,95292.3,95476.5,1.78773e+06
Caltech_51464,1389,890,3295,1757,377,3936,7214,4779,1637,5884,3790,4214,2755,4022,919,1736,2924,880,2003,1851,5479,1395,6589,5008,1171,8585,11298,7260,5703,5384,332,472,559,3180,1423,986,3696,2095,443,4410,9060,4628,1400,6273,3737,3356,2555,4589,815,2093,2104,978,2267,1991,5093,1614,8588,5858,1000,9160,10547,7001,4985,4912,395,412,413,3295,2.70679,2.72667,118666,122171,2.21682e+06
Caltech_51465,1308,705,2431,1672,244,3224,4297,3424,1044,5413,2792,2489,1930,3158,653,1510,1751,722,1366,1007,4044,1146,5454,3576,686,6487,7144,5258,3802,4041,169,484,596,2111,1254,782,2412,1646,221,3433,5408,3108,1137,4899,2619,2774,1741,3417,638,1467,1461,720,1697,1296,4309,1183,4936,4002,559,6518,7606,5045,3560,3980,249,385,355,2458,2.56153,2.54667,86134.5,87274.1,1.61316e+06
