SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
CMU_50642,1068,541,3205,1641,455,3171,5278,4057,1045,4630,2812,3435,1558,2947,638,1519,2421,631,1239,1586,4150,1436,5613,3903,766,5450,7205,5140,3421,4093,229,437,515,2568,863,838,2490,1661,409,3061,5722,3072,1013,4734,2495,3392,1775,3048,595,1401,1650,700,1960,1814,4319,1258,5500,4786,707,5667,6813,5153,3599,4066,272,512,450,2250,2.44212,2.43303,88802.3,88047,1.60004e+06
CMU_50643,1110,599,2139,1439,403,3020,4886,3344,1094,4749,2773,3447,1839,3013,789,1127,1673,648,1536,1752,4173,1194,4183,3860,611,5383,6351,5525,4045,3981,222,472,386,2248,1042,750,1424,1523,383,3415,5877,2537,964,4690,2686,3408,1722,3421,838,1407,1409,732,1926,1905,3523,1084,4220,3783,554,5633,6125,5746,3775,3854,286,325,324,2469,2.59918,2.60307,84010.2,83758,1.5121e+06
CMU_50644,967,738,2623,1372,355,3321,4674,3182,992,5360,2885,3075,2088,3209,671,1799,2125,623,1627,1207,4498,1331,5151,4243,957,6327,7926,5384,4141,3544,170,414,476,2279,1144,718,2451,1529,353,2896,5323,2867,995,5101,2793,3056,2165,3508,784,2162,1449,835,1785,1445,4166,1339,5539,3724,575,6355,8497,5774,3707,3646,231,477,310,2536,2.64616,2.61303,89732.3,90238.2,1.54905e+06
CMU_50645,1022,607,2256,1741,407,3614,4804,3894,861,5066,2451,3667,1543,3499,708,1263,1759,573,1352,1635,4541,1350,5142,4073,611,6147,6819,6203,3691,4093,216,462,510,2139,959,817,1930,1754,292,3325,5497,3380,911,4121,2164,3451,1836,3713,781,1383,1748,737,1304,1740,4515,1394,5196,4841,554,5709,6658,6050,3964,4135,319,353,422,2157,2.55436,2.54907,88716.5,88109.3,1.59358e+06
CMU_50646,1062,802,2471,2025,549,3049,5798,4254,968,5677,3353,3949,2242,3337,820,1831,2588,675,1519,2094,4499,1639,4565,3796,979,5918,7213,5643,3472,4286,193,552,498,2586,915,787,1863,1997,398,3944,7343,3831,1116,5635,3236,3964,2220,4079,801,1414,1468,1171,2376,2133,4585,1396,5317,4570,799,5877,7064,5747,3924,4378,331,560,357,2859,2.6328,2.61213,94902.4,98456.2,1.69685e+06
CMU_50647,949,424,1689,1675,429,3128,4341,3724,958,4901,2520,2372,1863,3138,658,1139,1448,603,1352,1346,3720,1107,4256,3503,665,5361,7089,4969,3750,3619,159,468,503,1823,921,686,1815,920,392,3370,5777,3046,1273,3813,2636,3001,1716,3240,643,1329,1118,740,1339,1447,3145,1244,4275,4661,639,5385,6489,5479,3470,3609,240,444,348,1888,2.36045,2.39657,79648.1,80540.3,1.4213e+06
CMU_50648,903,660,1910,1694,517,3294,4613,3256,977,4768,2501,3777,1905,3075,650,1247,1457,583,1271,1788,3924,1150,4837,3774,1085,5417,7686,5584,3659,3413,200,513,396,2021,1034,1083,1921,1608,358,2828,5258,2823,1082,4184,2357,3443,1973,3220,637,1154,1203,730,1631,1627,4015,1209,4656,3660,813,6187,6700,5843,3175,3677,278,503,249,2232,2.36375,2.36687,84502.9,83351.9,1.40014e+06
CMU_50649,1047,775,2993,1399,354,3076,5164,3059,951,5200,2672,2868,1823,3078,759,1553,1863,757,1186,1385,3974,1300,5100,3854,862,5654,7802,5095,3532,3585,250,467,458,2537,985,701,2681,1545,345,2951,5509,2941,788,4414,2361,3025,1879,3794,677,1550,1447,744,1406,1466,4137,1249,5276,3768,734,6436,7933,5453,4110,3923,332,392,276,2485,2.65547,2.67567,86432.2,87714.5,1.69669e+06
CMU_50650,851,588,1885,1308,312,2570,3651,3302,772,3937,2330,2898,1621,2739,622,1388,1132,563,1096,1508,3728,1088,4143,3326,707,4841,6443,4965,3259,2892,265,394,398,2014,720,799,1588,1327,260,2581,4457,3079,878,4001,2616,2765,1569,3062,579,1526,1232,732,1526,1418,3459,1232,3948,3285,492,5655,5859,4940,2950,2859,263,324,263,2119,2.50113,2.43235,73534.2,74360.4,1.02198e+06
CMU_50651,1432,1012,3504,2110,457,4220,5975,4679,1280,5779,3371,3576,2293,4288,1055,2247,2540,822,1516,1476,5429,2013,6003,4465,1238,7299,9843,6779,5167,5571,327,670,660,2973,1367,834,3921,1922,323,3952,7094,4248,1319,6080,3027,3884,2115,4912,810,2141,1602,946,1972,1921,5930,1405,6905,5287,999,7713,9947,6316,5131,4974,403,379,525,2840,2.37041,2.35751,112072,113141,1.84922e+06
