SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
KKI_50772,1478,790,2785,1642,509,4226,5591,3923,1219,5542,3330,3160,2206,3460,791,1571,1587,857,1427,1553,5265,1318,5731,4234,969,6967,8374,5316,4610,4767,223,485,389,2196,1151,1105,2553,1573,482,3597,7216,4260,1052,4429,3199,3233,2384,4398,711,1738,1577,1065,2058,1844,4664,1356,5355,4291,888,7050,7994,5926,4204,3741,354,645,332,2090,2.66317,2.62619,98489.2,98514.4,1.63954e+06
KKI_50773,1043,632,2843,1469,455,4283,5899,4853,1039,5584,3298,3741,2104,3622,762,1599,1966,728,1581,1737,4657,1393,5092,4020,866,6915,9398,6467,4248,4214,201,487,615,2363,1007,963,3147,1504,609,4009,6585,4250,950,4555,3197,3653,2221,4562,823,1818,1777,892,1648,1603,4352,1353,5901,4358,871,6468,8339,6456,4470,4342,307,507,356,2411,2.83359,2.88374,100174,100266,1.65212e+06
KKI_50774,1684,742,2819,1719,468,4582,5295,4222,1564,4948,3502,3409,2178,4212,1004,1211,1740,934,1492,1436,4944,1391,5466,5306,1019,7654,9256,6763,4862,4902,199,513,502,2464,1191,696,3031,1696,648,4201,6693,3572,1142,5116,3589,3698,2053,4311,987,1448,1663,991,1319,1679,4584,1478,5213,5375,823,8910,8934,7602,4861,4914,372,438,404,2479,2.80288,2.79875,104402,106108,1.68233e+06
KKI_50775,1432,737,2788,1656,549,4645,7024,4959,1119,5377,3378,3546,1982,3562,806,1752,2041,763,1814,1665,4837,1636,5809,4658,1011,7035,9454,6082,4340,4657,249,530,508,2310,1351,931,2189,1748,518,5020,7544,4807,1325,5119,3362,3921,2419,4220,937,1837,1592,1104,1794,1887,4973,1532,6514,4699,875,7244,9479,6035,4244,4386,362,490,359,2549,2.65913,2.71581,104710,107369,1.70119e+06
KKI_50776,919,584,2071,1485,394,3751,5344,3815,1000,5133,2898,3017,1365,3031,695,1221,1265,554,983,1505,4131,1216,5193,4038,820,5396,7560,5579,4266,4957,221,445,418,2059,1129,785,1594,1466,268,3097,6411,3473,1004,4824,2697,2993,1907,3827,654,1428,1405,680,1613,1573,4249,875,4809,4371,658,6155,6790,5812,3726,3903,404,340,301,1984,2.76835,2.82405,87326.7,87201.9,1.41529e+06
KKI_50777,1257,843,2633,2000,479,4384,6677,4821,1171,5590,3197,3926,2302,4029,781,1626,2024,727,1279,1791,5734,1684,5740,4917,1100,6661,8824,6107,4542,5035,287,625,579,2167,1269,927,2104,1977,651,4245,7074,4424,1044,5895,3332,3720,2047,4619,1025,1911,1389,910,1677,1967,4849,1894,5843,5397,825,7383,8915,7472,4216,5076,351,382,461,2323,2.84329,2.82748,105544,107597,1.66323e+06
KKI_50778,1017,574,2190,1396,460,3354,4996,3216,816,4061,3079,2054,1569,3219,727,1173,1702,638,1119,1104,3954,1046,4764,3127,827,5507,7084,5519,3956,4120,183,454,494,2482,1072,694,2048,1361,454,3542,6250,3368,885,4118,2692,2468,1951,3330,614,1323,1618,789,1505,1282,4295,994,4889,3482,747,5525,7363,5706,3671,3656,274,554,350,2235,2.83732,2.841,81980.5,85105.3,1.28658e+06
KKI_50780,1102,738,2795,1407,293,4292,5559,3379,1392,6077,2968,2866,1836,3252,726,1358,1932,772,1738,1183,4488,1415,5558,3986,784,6877,7591,5764,4290,3867,258,603,496,1969,1174,881,2131,1512,291,3544,5763,2975,1088,5891,2746,3689,1953,3686,716,1443,1560,1005,1673,1245,4516,1275,5388,4293,731,7393,7784,5851,4233,3401,317,421,477,2073,2.7129,2.68569,93612.3,93115.9,1.52556e+06
KKI_50781,1161,533,2555,1492,368,4080,5773,3776,1166,5127,3331,3020,1955,3497,821,1523,1589,777,1481,1509,4348,1322,6578,5692,887,7205,7854,5841,4477,4636,231,396,521,2541,1040,792,2245,1739,308,4222,6911,3845,1216,4736,3121,2877,1974,4101,837,1631,1623,887,2228,1603,4520,1563,5788,5526,676,7216,8268,6335,4180,4303,318,365,408,2431,2.81698,2.74611,98066.2,99833.8,1.43202e+06
KKI_50782,1098,657,2503,1461,392,3239,5215,3104,780,4743,2894,3381,2003,2787,664,1443,1864,683,1427,1423,4433,1329,5257,4129,840,6220,8496,5449,4354,4109,232,542,589,1937,1141,894,2296,1520,302,3460,6340,3392,797,4621,2760,2895,2194,3525,598,1354,1404,898,1291,1436,4474,1067,5924,4478,646,7050,7765,5618,4039,3318,322,491,354,2325,2.86659,2.82479,89677.3,90991.2,1.50395e+06
