SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
Leuven_50682,945,475,1991,1375,320,3320,4618,2766,912,5287,2228,2704,1631,2725,673,1292,1571,564,1422,1123,4208,1097,4478,4161,524,5385,7263,5103,3756,3650,246,496,522,1937,902,662,2003,1577,376,3319,5804,3101,832,4609,2146,3325,1373,3374,650,1371,1485,679,1214,1326,4122,1031,4795,4548,691,5931,6949,5590,3629,3251,390,512,363,1913,2.07842,2.17355,80767.5,83841,1.4728e+06
Leuven_50683,1045,692,2552,1703,419,3007,4471,2854,1141,5626,3113,3104,1752,2619,643,1646,1656,722,1380,1346,4601,1247,5458,4216,824,6146,8912,4971,4512,4490,260,539,521,2107,836,813,2482,1833,399,2877,4943,3304,1070,6098,2863,3562,2195,3446,744,1976,1401,795,1670,1636,4120,1418,5602,4173,701,6025,8153,4507,3705,4604,331,425,447,2192,2.51547,2.45216,90294.4,91347,1.48429e+06
Leuven_50685,1002,685,2914,1719,435,3789,5433,4144,1334,6457,2946,2691,1872,2939,816,1560,1855,745,1376,1496,4831,1370,5565,4174,992,6513,7905,5552,4224,4532,194,553,524,2059,947,846,2077,1851,443,3779,5968,3126,1142,5695,2657,3611,2103,3719,720,1587,1532,911,1877,1684,4320,1328,5581,4519,627,7932,7486,5352,4371,4190,301,426,482,1930,2.41163,2.36195,95193.6,95119.6,1.63358e+06
Leuven_50686,1005,415,1862,1325,341,2605,4130,2819,772,3832,2200,2442,1504,2506,649,1199,1163,725,1166,1129,3581,1011,4125,3028,593,5043,6264,4794,3659,3147,197,414,460,1758,969,633,1902,1363,368,2877,4531,2508,709,4071,2000,2455,1371,2721,532,1416,1270,759,1341,1329,3346,1128,4537,3009,556,4466,6131,4848,3468,4017,293,455,405,1805,2.37184,2.32877,71861.1,73591.4,1.10091e+06
Leuven_50687,1424,903,3126,1677,482,4029,5754,3996,1482,5954,3420,3579,1866,3676,939,1492,2438,768,1620,1418,4690,1713,4874,5037,1232,7785,8227,6438,4536,4278,287,468,579,3074,1145,1033,2733,1756,380,3735,6505,3859,1077,5288,3145,3553,2172,4797,900,1996,1656,903,1928,1629,5008,1484,5654,5435,951,7650,9405,6523,4459,4146,359,501,406,2427,2.49601,2.43875,103263,104598,1.81523e+06
Leuven_50688,1160,764,2320,1488,505,3366,4869,3231,1274,4657,2680,3293,1795,3414,773,1230,1778,638,1203,1106,4540,1392,4565,4414,1095,4757,7108,5390,3641,4348,223,353,398,2125,1046,673,1818,1469,396,3316,5957,3525,847,4750,2288,3166,1986,3732,731,1362,1226,919,1715,1239,4331,1144,4507,4462,608,5656,7164,6090,3553,3624,278,449,342,1980,2.35816,2.37342,85893.1,86348.1,1.45919e+06
Leuven_50689,975,897,2673,2024,493,4256,5149,4184,1405,5836,3539,3635,2046,3704,706,1567,1739,845,1647,1792,4989,1454,5395,5441,1021,6732,9393,7243,4801,5009,225,552,591,2492,1004,1003,2005,1989,335,3334,6515,4209,1423,6966,3143,3991,2019,4098,782,2061,1389,1025,1867,1943,4756,1499,5149,5095,850,7815,9064,6761,4063,4218,484,591,480,2194,2.42777,2.42709,104448,104119,1.60387e+06
Leuven_50690,1365,595,1945,1624,391,3597,4325,3725,693,4537,2582,3201,1664,3682,713,1696,1502,551,1412,1337,5130,1288,4337,3639,866,5537,6801,5335,3309,4078,180,513,335,1994,946,773,1657,1692,486,3278,5154,3573,808,4991,2801,3417,1816,3655,697,1392,1266,896,1376,1569,3957,1166,5315,4230,561,6414,6406,6469,3346,4080,293,512,344,1908,2.36808,2.34227,84478.7,87242.3,1.38885e+06
Leuven_50691,1045,845,3298,1471,402,4171,5671,4402,1364,5675,3147,2900,2254,3365,780,1540,1705,659,1561,1374,4793,1441,5032,4191,1212,6677,8053,6088,3996,4398,216,446,529,2451,971,630,2915,1708,286,3995,6062,3157,938,5303,2939,3012,1978,4306,818,1981,1664,880,1626,1686,5108,1372,5576,4698,844,6725,8374,6487,4287,3916,336,435,399,2355,2.51977,2.48845,97151.2,97766.9,1.49689e+06
Leuven_50692,1473,826,2607,1747,439,4160,6347,4549,1499,5697,3552,3423,1959,4267,954,1558,1861,927,1464,1291,5383,1879,5075,4944,1321,7494,9699,6684,5027,5264,228,545,723,2585,1278,1336,2359,1851,424,4123,6558,4189,1572,6087,3152,3675,2095,4635,793,2026,1241,1104,1580,1851,5523,2071,5508,5447,1076,8016,9286,6662,4899,4887,330,485,571,2316,2.42661,2.41256,107448,109007,1.88348e+06
