SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
MaxMun_51318,1033,870,3158,1891,499,3686,5877,4356,1458,5752,3384,3408,2052,3774,741,1363,1779,814,1637,1736,5224,1521,5686,4155,971,6519,7956,5221,4216,4412,146,508,575,2387,1118,1092,2036,1919,307,3700,6592,3681,1293,5999,3223,3975,2187,3934,867,1517,1859,957,1866,1807,4217,1604,5307,4528,891,7125,8254,6093,4246,4372,243,518,375,2664,2.44444,2.40605,98765.6,100366,1.65442e+06
MaxMun_51319,1175,942,2941,1465,433,3811,5990,3957,1146,4685,3013,4202,2268,3889,857,1479,1676,747,1583,1623,3948,1347,5039,4423,1098,6184,8440,6395,4700,4000,217,621,674,2369,989,1158,2095,1440,246,4114,5951,4198,1171,5376,2930,3759,2102,4398,919,1627,1750,870,1457,1583,4640,1257,5323,4544,1098,6462,8139,6219,4303,4508,317,454,497,2531,2.43911,2.43216,97336.1,98425.1,1.66169e+06
MaxMun_51320,884,558,1766,1863,389,3373,5729,3517,1288,4877,3063,3601,1864,3200,961,1307,1873,759,1674,1672,4863,969,5296,4740,1027,6432,7573,5164,4323,4619,201,727,471,2388,980,980,2200,1869,315,4109,5670,3794,1145,5582,2867,3662,2105,3729,981,1929,1427,814,1698,1790,4207,1573,5130,4145,817,6987,6707,6197,3810,4316,264,468,303,2268,2.33604,2.31581,93011.1,94834.1,1.58612e+06
MaxMun_51321,789,559,1897,1592,454,3463,4915,2692,1116,5524,2468,3456,1861,3160,664,1543,1841,675,1537,1580,4804,1739,5610,3093,789,5576,6782,4863,3819,3866,266,473,544,2076,956,690,1640,967,387,3307,4905,2974,1138,4894,2539,3805,1871,3363,667,1306,1369,825,1728,1407,5104,1736,5550,4849,618,5172,6445,5533,3723,3646,237,420,457,2246,2.27406,2.18078,86082.2,86478.2,1.3724e+06
MaxMun_51322,1269,534,2131,1629,399,3670,4899,3324,950,3868,2435,2892,1721,3171,627,1435,1523,562,1218,1380,4112,1406,5096,3283,902,5089,7568,5025,3802,3204,201,462,378,1994,967,849,2097,1654,324,3273,5045,3431,911,4295,2163,2922,1965,3288,563,1440,1277,657,1509,1565,3993,1430,5128,3690,790,5204,6861,4926,3827,3306,262,349,362,2067,2.58215,2.61397,82157.3,82389.7,1.40724e+06
MaxMun_51323,1031,1020,2668,1985,587,4264,5103,3553,1369,7397,3451,3941,2267,3772,694,2015,2557,815,1691,2110,4985,1886,5808,4408,1236,7537,8758,6469,4679,4762,195,595,551,2706,1279,1671,2676,2262,347,4016,6989,4407,1288,5961,3309,4803,2387,4421,794,2217,1601,1197,2001,2076,4375,2182,5854,4158,1116,7942,7665,7041,4087,4045,311,511,384,3011,2.36944,2.35145,106864,108382,1.71235e+06
MaxMun_51324,1151,573,2245,1781,421,3358,4616,3238,1307,5212,2538,3433,1947,3098,613,1592,2006,536,1232,1647,4802,1213,5195,4461,864,6226,7750,6477,3617,4526,270,519,474,2263,1006,983,2320,1509,400,2861,5216,3349,1206,4740,2545,3406,1848,3540,707,2012,1474,791,1509,1769,4605,1508,5171,4860,708,6090,7386,6083,4040,4019,274,386,370,2611,2.24571,2.29454,91200.4,91303.3,1.41138e+06
MaxMun_51325,882,523,1851,1355,291,2665,3637,2653,976,4233,2704,3128,1509,2803,653,1275,1366,582,994,1383,3326,969,4148,3315,587,5236,6429,4669,3246,3183,177,414,348,1804,761,708,1540,1449,278,2660,3708,2776,937,4349,2441,2930,1563,2908,648,1417,887,879,1311,1393,3393,1098,4880,3513,604,5569,5719,4786,3088,3225,258,331,287,1786,2.44037,2.46903,73313.8,74079.4,1.37012e+06
MaxMun_51326,989,599,1989,1621,554,4174,5326,3779,1068,6223,2804,4127,1972,3159,799,1433,1364,658,1549,2099,5370,1640,5343,4093,874,6941,8783,6424,4671,4058,232,489,487,2808,1198,1011,2860,930,362,4165,6078,4118,1199,5684,2944,3885,2405,4227,701,2757,1491,1139,2651,1485,4090,1427,6073,5413,1109,6828,8201,5366,4007,2931,387,395,352,3349,2.28073,2.25324,98497.1,101216,1.68108e+06
MaxMun_51327,1203,770,2614,1420,460,3808,5725,4525,1288,5411,3207,3889,2252,3774,837,1562,1556,760,1131,1531,4445,1313,5952,4350,1056,6972,8017,6419,4416,4845,233,455,430,2134,1153,712,2684,1761,372,3849,7563,4403,1486,5641,3219,3772,2076,4411,991,1430,2051,913,1517,1909,4760,1281,5776,4808,722,7756,7586,6242,3919,3806,276,451,410,2547,2.36209,2.31979,98760,102252,1.72887e+06
MaxMun_51328,1064,1156,2802,1615,429,4097,5089,4131,1377,5992,3324,3681,2263,3018,776,1507,1918,798,1559,1538,4526,2089,5672,5002,1225,6020,8696,7095,4007,5988,255,571,630,2777,1241,899,2821,1766,250,4261,6861,4126,1220,5799,3138,3402,2222,4072,794,1828,1458,894,1700,1753,4844,1521,5718,4947,839,7279,9096,6370,4403,4677,388,378,500,2773,2.76189,2.69739,102684,104238,1.80145e+06
MaxMun_51329,1381,774,2283,1530,524,4009,5022,4736,1332,5550,3215,3592,2085,3946,839,1697,1810,723,1497,1413,6243,1491,6377,4783,980,6932,8278,6160,4578,4378,261,510,607,2446,1376,922,2167,1663,468,4104,6693,4471,1119,4539,3439,3585,2152,4432,890,2185,1243,917,1488,1679,5403,1562,6582,4974,695,6960,8506,6179,4536,4970,310,587,544,2412,2.66629,2.64615,101987,103756,1.77686e+06
MaxMun_51330,938,619,2094,1523,538,4422,5032,3857,1236,5839,2866,4018,2142,3135,839,1411,1289,667,1518,2099,4260,1296,5643,4370,868,6853,8732,6223,4669,4941,205,458,470,3016,1099,1037,1576,1945,423,4384,6742,4493,1065,5315,3067,3798,2152,4222,770,1696,1516,932,2406,2104,4242,1232,5215,4834,1024,6045,7731,6265,4073,4335,320,375,341,3059,2.33956,2.36872,98085.6,99836.2,1.72342e+06
MaxMun_51331,1094,1001,2501,1531,384,3545,5835,3734,1166,4919,2801,4091,2215,3831,814,1691,1990,702,1633,1480,4166,1337,5597,4508,1129,6054,8594,6283,4623,3998,220,596,589,2536,1079,1231,2245,1469,322,4021,6155,4123,1141,5348,2543,3626,2013,4363,782,1783,1771,889,1439,1590,4709,1243,5633,4596,990,6591,8464,6272,4351,4741,314,451,484,2858,2.47422,2.40218,97187.9,99630,1.72478e+06
MaxMun_51332,1550,1079,3162,2318,538,4037,6536,3618,1375,6468,3057,3500,2397,4018,732,1684,2320,674,1857,1715,5618,1297,6845,4626,979,8998,8970,6267,4332,5729,240,510,513,2689,1459,815,3447,1881,472,4373,7808,3491,1369,6097,2887,3688,2142,4215,666,2154,1370,916,1706,1876,4868,1350,7536,4464,860,10540,9425,6713,5046,5455,285,408,517,2615,2.62129,2.55418,110245,112914,2.06375e+06
MaxMun_51333,1290,642,2413,1787,445,3548,6256,4200,984,5252,3156,3335,1955,3937,711,1404,2041,525,1635,1655,4853,1416,5437,4353,689,6535,7396,6188,3968,4380,184,606,456,2195,1044,631,2676,1786,452,3677,8076,3653,855,5387,2728,3848,1846,3575,748,1452,1572,744,1956,1697,4994,1026,5462,4359,833,7280,7341,6392,3610,4240,328,406,319,2720,2.43525,2.41204,95826.8,97715.5,1.72756e+06
