SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
NYU_50952,1080,653,2647,1742,412,3679,5053,3249,946,4506,2511,2938,1469,2906,712,1574,1646,745,1248,1341,4870,1301,5614,3855,815,5594,7843,6712,4164,4864,228,538,427,1933,1073,686,2223,1687,481,3431,5706,3101,1027,6051,2117,3178,1690,3481,624,1656,1556,769,1561,1712,4908,1299,5212,4121,658,6219,7611,5884,4128,4896,326,491,399,2047,2.81645,2.82848,89816.5,92007.5,1.48456e+06
NYU_50953,1317,711,2313,1300,447,3627,4554,3347,988,4800,2418,2873,1776,3024,791,1366,1623,720,1772,1419,4322,1370,5222,3988,1114,6680,7329,5527,4041,4015,235,429,488,2813,941,968,2388,1425,312,3410,5246,2896,823,5158,2455,2720,2107,3708,837,2152,1232,796,1744,1428,4122,1356,5070,4239,816,6439,7636,5458,3851,4095,296,421,395,2275,2.77119,2.83506,88758.8,89215.7,1.44611e+06
NYU_50954,795,453,1710,1220,237,2696,3521,2015,652,3727,2446,2642,1512,2277,635,1246,1291,526,1182,1265,3514,928,3814,3395,477,4155,6129,4180,3020,3100,181,422,358,1856,823,458,1225,1458,199,2557,4261,2239,709,3650,1982,2388,1397,2475,605,1581,964,644,1752,1346,3318,914,4250,3378,415,4595,5722,3705,2978,2457,194,443,228,1739,2.84955,2.8683,67576.5,67050.5,1.02411e+06
NYU_50956,1078,543,2012,1244,521,3081,4411,2928,877,3518,2381,2532,1434,2856,892,1392,1712,510,1354,1217,3403,1144,4290,3778,840,4989,6560,5016,3644,2832,154,451,366,1776,871,540,1719,1199,172,2778,5262,2837,832,4154,2585,2357,1560,3097,539,1350,1175,812,1486,1065,3419,1270,4274,3559,654,5195,6482,4948,3471,3025,271,424,301,1741,2.70478,2.73913,75733.3,75425.8,1.20892e+06
NYU_50957,897,456,1702,1300,302,2780,3618,2733,795,3942,2179,2604,1221,2610,642,1322,1375,569,1251,1026,3670,959,4088,3612,604,3848,5778,5273,2992,3418,248,496,341,2043,806,610,1669,1381,321,2653,4593,2276,804,4226,1886,2763,1419,2454,618,1405,1115,568,1471,1226,3527,1082,3811,3544,545,4616,6237,5411,3249,3477,298,406,353,1795,2.51974,2.48272,70692,72614.3,1.29216e+06
NYU_50958,1072,690,2202,1316,375,2840,3807,2819,935,3896,2393,2117,1407,2819,868,1490,1587,638,1332,999,3958,999,4285,3459,680,5138,6687,4891,3332,3708,212,449,462,1631,966,756,2327,1265,208,2783,4875,2951,918,3445,2363,2218,1699,3193,658,1574,1271,750,1404,1045,3909,1150,4745,3771,646,5231,6427,4973,3386,3311,281,350,251,1903,2.57313,2.5715,75496.3,77004.6,1.28855e+06
NYU_50959,954,680,2127,1320,298,2958,3848,2783,1001,4010,2434,2814,1505,2732,514,1248,1883,581,1289,1144,3412,1095,4505,2994,720,4934,7063,4698,3492,3827,140,476,471,1854,877,761,2123,1172,253,2922,4439,2682,888,4770,2114,2705,1699,2839,556,1485,1375,762,1487,1261,3223,1158,4688,3667,546,5226,6876,4999,3365,3191,237,434,296,1844,2.61405,2.54556,75801,76921.6,1.05302e+06
NYU_50960,1011,449,2677,1824,239,3300,4717,3887,1087,4463,2629,3336,1681,3161,819,1448,1518,675,1194,1553,4449,1316,4997,3759,627,5601,7489,5668,3454,3663,201,453,422,2230,935,506,2419,1654,216,3000,5190,3092,1016,4886,2623,3444,1768,3475,743,1775,1407,835,1407,1583,4012,1015,5004,4408,567,5783,7981,5566,3593,3723,288,481,445,2196,2.22962,2.19979,86001.4,87032.7,1.26797e+06
NYU_50961,800,323,1563,1019,314,2347,4272,2314,794,3967,2194,2399,1125,2324,620,1009,1169,485,940,985,3409,746,3828,2720,449,4372,5567,4455,2872,2939,147,387,318,1483,650,570,1429,1219,306,2220,4513,1992,747,3339,1990,2542,1421,2350,563,1144,1102,613,925,1256,3310,883,3566,2956,379,3986,5305,4652,2869,2926,185,398,282,1546,2.80184,2.72632,64654.7,64133.3,1.19005e+06
NYU_50962,924,651,1913,1028,292,2561,3575,2890,650,3545,1941,2518,1265,2666,595,1305,1100,520,933,1046,3311,997,4222,2646,681,4516,5703,4336,3063,2726,162,349,401,1664,782,532,2043,1190,206,2847,4298,2488,531,3689,1672,2440,1208,2741,620,1407,1026,660,1042,1209,3005,776,4033,2839,433,5053,5439,4116,2882,2662,230,369,258,1428,2.43429,2.38621,66695.1,66153.5,1.17248e+06
