SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
Olin_50102,1205,654,2492,1674,391,3318,5414,3531,1244,4856,2935,3766,2119,3315,627,1772,1782,660,1451,1603,4718,1387,5584,4777,1015,5721,7671,6494,3977,4510,209,529,663,2363,993,731,2453,1682,382,3226,5335,3656,1295,4839,3147,3619,2087,3279,597,1883,1519,911,1932,1835,4539,1502,5739,4959,686,5332,7401,6771,3594,4270,324,354,347,2434,2.59968,2.63272,94424.5,93652.8,1.52542e+06
Olin_50103,887,671,2529,1896,333,3656,4880,3530,1081,5751,2513,3323,1941,3027,592,1266,1767,546,1231,1604,4362,1473,5100,4701,647,5298,6867,5787,3902,3819,294,409,473,2325,899,664,1701,1863,294,3468,5638,2916,1154,5191,2656,3464,1789,3196,716,1505,1693,806,1865,1845,4044,1466,5398,4521,553,5511,6648,6108,3624,4440,308,410,325,2203,2.56384,2.5151,88480.3,88880.3,1.54928e+06
Olin_50104,1129,848,3074,1495,306,3605,5312,4209,1533,5764,3022,3524,1602,3903,919,1525,2209,784,1662,1397,5122,1817,5284,4388,1656,8131,7524,5734,4223,4323,209,511,456,3086,1238,1031,2383,1716,414,3984,6911,3708,1313,5458,3123,3565,2146,3939,948,1927,1688,953,1743,1697,4875,1455,5103,4908,729,7533,8459,5476,4215,3829,406,562,321,2496,2.73639,2.74116,100287,100252,1.83326e+06
Olin_50105,1193,928,2044,1805,411,3527,4758,3299,843,5028,2481,3226,1926,3521,833,1379,2024,660,1266,1460,4318,1195,4794,4153,876,5456,7977,5376,3904,4311,230,436,478,2179,974,767,1658,1825,382,3455,5558,3053,856,4816,2544,3437,2019,3301,829,1493,1626,707,1631,1683,4367,1243,4879,4403,711,5739,7382,5817,3573,3801,289,438,342,2151,2.69332,2.68199,88296.5,87748.5,1.53011e+06
Olin_50106,968,599,2316,1431,367,2957,5368,2512,1067,4452,2591,3121,2319,2099,637,1370,1440,578,1139,1269,4097,1284,4907,4129,754,5418,7955,5208,3675,3982,240,424,601,2236,861,830,1775,1500,299,3328,4965,2339,1153,4946,2954,3173,1849,2814,737,1448,1380,981,1393,1448,3875,1185,4646,4508,771,5946,7035,6332,3719,3979,271,422,420,2159,2.75079,2.82327,83509.6,85441,1.43883e+06
Olin_50107,943,707,3051,1878,496,4250,6363,3729,1021,6096,3046,3884,2288,3445,981,1609,1890,704,1242,1683,4596,1270,5883,4635,1152,7875,8822,5996,4844,5833,189,501,509,2630,1119,927,2595,1898,393,4186,7822,3826,1076,5829,3221,3606,2242,4078,894,1808,1816,992,1958,1850,4698,1346,5723,4900,1122,7504,8325,7116,4140,4345,286,440,399,2599,2.47786,2.49924,104041,105078,1.75207e+06
Olin_50108,1121,557,2499,1421,392,3458,5650,3431,783,5773,2902,3683,2110,2989,871,1710,1747,675,1046,1731,4401,1013,5269,4054,860,5893,7973,5765,4038,4335,231,481,444,2160,1012,715,2120,1852,343,3499,6103,2981,1045,5295,2602,3693,1885,3336,885,1676,1366,793,1284,1953,4413,1378,5434,3833,666,6264,8054,5961,3640,4034,293,352,406,2562,2.51283,2.4756,91468.7,91729.8,1.60382e+06
Olin_50109,1076,625,2030,1675,432,3382,5076,3689,1258,4844,2770,2965,1789,3387,636,1467,1941,759,1415,1233,3958,1373,4935,4061,879,6122,7268,5161,3876,4803,203,492,409,2283,860,680,2758,1436,427,3106,5179,2976,1139,4897,2770,3075,1860,3219,654,1775,1419,706,1511,1215,4304,1406,4909,4520,762,5066,7547,5590,3829,4128,305,439,379,2271,2.34033,2.35872,88270.7,87115.2,1.39584e+06
Olin_50111,1241,857,2067,1406,320,3388,4929,3696,1125,5234,2619,3500,1927,3356,624,1206,1794,515,1487,1260,4084,1334,5090,3704,842,6485,6729,6656,3942,4218,267,491,454,2318,1144,699,2168,1722,303,3259,6066,3580,1137,5199,2714,3846,1781,3874,695,1463,1153,830,1654,1852,4279,1284,5146,4425,472,6358,6945,5651,3795,3999,274,422,396,2376,2.60376,2.67335,89169.8,90964.1,1.49813e+06
Olin_50112,1099,509,2362,1362,366,3458,3959,2358,1197,4578,2711,3216,1891,2356,648,1485,1778,606,1436,1543,3621,1267,4529,4083,748,5953,6691,5244,3756,3926,215,391,460,2186,723,845,2384,1535,235,2849,4998,2419,1050,4682,2598,3093,1952,2951,576,1654,1470,764,1714,1672,3496,1293,4447,4424,582,5581,6541,5334,3214,3857,277,403,336,2301,2.58036,2.58524,81988.8,82251.8,1.51264e+06
