SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
Pitt_50002,1000,695,3416,1567,432,3430,5294,2934,1091,5323,3201,3504,2152,3225,793,1644,1728,588,1609,1417,4316,1239,5323,4066,938,6640,8768,5400,4373,4421,219,496,509,2429,1043,713,2776,1527,281,3483,6228,3609,1063,5754,3028,3685,2402,3980,603,1998,1781,834,1613,1802,4215,1575,6090,3738,646,6749,9073,5494,3569,3714,346,447,390,2472,2.66259,2.64953,94181.2,96719.6,1.81528e+06
Pitt_50003,1061,616,2536,1605,384,3537,5196,3673,1062,5116,2708,3371,1783,3617,771,1439,1923,587,1378,1550,4760,1452,5729,4281,595,6610,7340,6355,3739,4274,235,424,461,2373,996,899,2144,1628,333,3260,5062,3278,971,4343,2338,3350,2089,3742,794,1683,1790,711,1671,1616,5022,1541,5687,5148,608,6426,7310,5999,4207,4257,429,345,497,2656,2.39588,2.38123,92541.3,92829.2,1.75202e+06
Pitt_50004,1177,575,2793,1393,369,3758,4990,3484,942,5242,3302,3125,1816,3149,663,1764,1706,798,1394,1307,5075,1213,5753,4647,769,6203,8441,5533,4749,3814,219,480,482,2528,1154,876,2770,1741,386,3370,7091,3550,1109,5493,3100,3260,2075,3792,676,1852,1491,891,1602,1494,3984,1396,5606,4896,747,6575,7464,5885,4038,3091,293,401,428,2524,2.67361,2.63602,93653.8,95102,1.69525e+06
Pitt_50005,1187,803,2498,1449,418,2978,4912,3412,1010,4228,3032,3024,1811,3380,1062,1470,1555,684,1474,1117,3740,1355,5141,4152,975,6183,7131,5445,3703,3919,230,435,557,2269,1091,703,2525,1429,255,3116,6065,2836,885,4901,2674,2605,2080,3687,803,1508,1307,737,1720,1315,4221,1254,5267,4064,593,5842,8084,4936,3987,3276,258,427,452,2441,2.53211,2.57121,86740.5,87341,1.55766e+06
Pitt_50006,1187,540,2262,1466,451,4011,5302,3593,1268,5233,3267,3399,2322,3041,682,1572,1723,766,1412,1411,5052,1144,5513,4908,787,6914,8214,6144,3598,3850,254,484,437,2330,969,1074,2258,1629,425,3609,6688,3926,1045,5203,3012,3255,1987,3505,788,1843,1398,855,1517,1660,4156,1636,5225,5095,974,6431,7711,5585,3816,3674,303,353,321,2190,2.82401,2.77081,94536.5,94116.2,1.61268e+06
Pitt_50007,1135,774,3046,1608,454,4162,6181,3861,1211,5963,3528,3752,2677,3608,1192,2100,2551,893,1606,1588,6119,1464,6112,5926,1184,7982,9452,6997,4848,5464,252,557,489,2786,1158,966,2905,1980,340,3962,6380,3685,1383,7140,3142,3547,2477,4935,1052,2224,1561,980,1944,1743,5843,1537,6464,6095,895,8467,9192,6676,4215,5139,396,557,334,3077,2.37629,2.34187,111524,112393,2.03748e+06
Pitt_50008,1382,701,2077,1683,415,3585,4882,3172,1026,5326,2848,3533,1905,3179,693,1427,1689,630,1320,1699,4072,1299,5272,3788,956,6588,8399,6104,3501,3771,225,554,388,2141,970,692,2547,1880,395,3592,4965,3384,863,4835,2699,3227,2226,3316,703,1492,1552,892,1883,1751,4267,1179,5267,4035,767,5239,8295,6296,3166,3999,310,595,423,2336,2.43529,2.44314,90226.6,90037.6,1.5377e+06
Pitt_50009,1016,760,2051,1519,429,3878,5802,3294,1355,5457,3138,3082,2044,3585,845,1309,1914,810,1443,1299,4586,1183,5345,4758,1283,6432,8085,6199,4487,4437,237,479,512,2768,1285,1347,2517,1632,354,3075,5583,3795,1281,5326,2862,3464,2241,3991,757,1862,1383,884,1604,1543,4578,1438,5670,4846,1186,6422,7068,6472,4099,4694,432,460,490,2565,2.42883,2.44207,95820.4,97205.5,1.8925e+06
Pitt_50010,796,424,1443,1310,352,2867,3080,1819,615,3634,1815,2119,1300,1861,571,1152,1093,454,938,1171,3078,964,3567,2743,555,3232,5276,3772,3072,2995,186,352,349,1812,664,522,1110,1169,245,2504,4374,1877,572,3356,1619,2604,1389,2273,543,1335,967,569,897,1329,2982,1101,3309,2680,547,3645,5137,4573,2685,2410,237,360,241,1972,2.53888,2.51058,60766,61796.4,1.17417e+06
Pitt_50011,1006,787,3735,1635,313,3527,5245,4384,1460,4685,3171,3259,2101,3969,997,1707,2100,857,1599,1642,4901,1543,6069,4158,1108,7758,8450,7862,4853,5485,270,608,525,3193,1214,821,3006,1576,317,4090,6943,3720,1335,5371,3177,3532,2302,4540,847,1954,1568,827,2152,1799,5484,1647,5860,4930,787,8580,9205,6236,4727,5306,410,491,536,2469,2.49514,2.47137,104961,107758,1.97237e+06
