SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
SBL_51556,1195,889,2961,2255,488,4617,5240,4207,1180,6899,2823,3678,1848,3581,760,1449,1578,969,1472,2055,4813,1465,5987,5117,771,8048,9809,6976,4774,5223,299,536,628,2869,1207,655,2522,2259,330,4032,6498,4346,1367,6331,3261,4312,1878,4545,735,1918,1830,1026,1879,2050,5061,1630,5686,5075,1115,8190,8559,6442,4242,4416,325,460,467,2482,2.19632,2.22612,107460,107131,1.66296e+06
SBL_51557,1091,733,3127,1845,458,4270,5452,4068,1101,6414,3323,3662,2059,3097,985,1838,1695,759,1255,1699,5400,1399,6373,4438,839,7259,8537,6689,4467,4088,237,573,600,2320,1024,757,2547,2257,233,4192,6813,3486,1209,5710,3509,3516,2307,3452,714,1608,1372,1118,1809,2040,4698,1278,5994,4732,774,6753,8199,6783,3798,3706,330,365,427,2222,2.31781,2.3498,102153,99732.5,1.62279e+06
SBL_51558,1251,776,2598,1866,525,3854,5774,4168,1398,6387,3542,3765,2565,3555,686,1517,2103,875,1698,1787,4395,1427,6137,4527,1054,7046,9034,6496,4764,4326,283,568,546,2645,1032,1089,2501,1953,434,4020,6545,3679,1108,5612,3158,3721,2146,3676,758,1798,1559,1025,1975,1961,4392,1034,5994,4882,987,7259,8921,6760,4492,3812,384,513,398,2755,2.17562,2.155,103939,102329,1.56053e+06
SBL_51559,1483,1023,1971,1787,527,4655,6948,4304,1411,7125,3206,4099,2360,3715,878,1469,1635,786,1307,1611,5408,1630,5650,5020,814,6671,8883,6664,3918,4602,288,515,489,2408,964,1082,1982,2155,383,4472,6961,4484,943,7261,3260,4017,2224,4553,1007,2280,1294,815,1820,1829,5099,1364,6366,4258,710,7791,8602,6717,4099,5375,376,532,353,2386,2.09827,2.08383,105258,107815,1.52964e+06
SBL_51560,670,822,2352,1817,591,4050,5757,4762,1075,6607,3226,2873,1893,3043,605,1572,2120,694,1536,1641,4796,1875,6463,4782,1005,6880,8100,7076,3852,3619,211,462,437,2814,1169,746,2984,1961,296,3835,6069,4129,1063,5202,2871,3654,1853,3839,551,2002,1747,924,1836,2043,4865,1565,6147,5365,799,6420,8128,5699,3828,3748,317,405,409,2432,2.3042,2.34866,100079,98905.1,1.33855e+06
SBL_51561,1448,589,2101,1615,450,4378,6102,4841,1585,6711,3561,3700,2515,4032,918,1645,1821,819,1647,1397,5085,1254,5605,4872,987,7252,10198,7654,4988,5021,227,577,618,2912,1232,655,2562,1628,514,3761,6428,4434,1460,6493,3175,3743,2197,4385,810,2101,1801,985,1938,1631,4607,1290,6527,4753,896,7471,9492,7631,4422,5314,376,390,536,3317,2.13582,2.16424,109126,108954,1.86175e+06
SBL_51562,941,799,2145,1866,384,3026,4210,3708,912,6474,2779,3552,2252,3110,670,1496,1771,684,1347,1638,4665,1332,5677,4255,1054,5530,7075,5673,4145,4614,311,492,499,2269,912,790,2115,1898,462,3142,5842,3231,1037,5922,2738,3640,2196,3168,770,1438,1670,757,1593,1863,3741,1254,5906,4437,811,6656,6890,6061,3733,3592,374,445,341,2173,2.20433,2.22147,91352.2,91595.1,1.49912e+06
SBL_51563,1309,716,2181,2282,709,3773,6171,3736,978,6656,2939,4732,2282,3578,1073,1460,1718,753,1516,2229,5700,1550,6260,5046,1108,6877,9470,6584,5082,5308,301,443,511,2454,1113,934,2663,2369,402,3777,6800,4396,1161,6348,2983,4257,2212,4284,831,1789,1387,756,1711,2541,5347,1448,6331,4912,985,6833,8553,6855,4060,4716,330,425,358,2619,2.04167,2.08011,107483,106486,1.72705e+06
SBL_51564,1244,948,2813,2326,527,4282,6766,4015,1325,5298,2952,4309,2328,4079,677,1191,2089,680,1467,1728,4551,1543,6244,4568,1099,6676,8884,7492,4167,4438,224,510,434,2631,1093,756,2752,1978,417,3931,7128,3808,1033,5643,2871,3719,2317,4333,753,1354,1473,986,2047,1685,4726,1584,6141,4839,821,7784,8497,6438,3985,3915,361,382,336,2542,2.07377,2.13671,104504,102431,1.70527e+06
SBL_51565,1019,629,1700,1755,403,3801,5539,3835,990,6007,2934,3312,2081,3528,884,1411,1818,780,1846,1387,5461,991,6530,3669,1068,6208,7271,4960,3888,3319,189,503,636,2122,905,856,1874,1971,333,4098,5699,3485,846,6283,2702,3513,1937,3794,851,1646,1471,947,1927,1744,4117,1283,4879,4190,694,6237,7245,6959,3718,3684,311,513,490,2398,2.23648,2.25045,92476.1,93600,1.56189e+06
