SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
SDSU_50183,949,530,2041,1566,470,3298,4198,3658,1108,5531,2927,3410,1809,3368,681,1165,1634,783,1287,1649,4394,1136,4448,3949,943,6694,7695,5175,4030,4021,213,492,435,2096,1150,867,2307,1539,251,3010,5923,3526,962,5092,3282,3538,1823,3633,676,1582,1106,898,1126,1810,3982,1242,5033,3767,783,5634,7754,5414,3552,3611,249,527,326,2361,2.59984,2.62841,87782.2,88335.1,1.54801e+06
SDSU_50184,1111,905,3216,1921,482,4220,6451,4091,1309,6816,3521,4260,2450,4297,1035,2106,2173,761,1697,2018,6194,1661,6351,5035,1308,6816,10130,6826,4428,5749,248,610,515,2605,950,935,2633,1658,494,4452,6620,2859,1419,6584,3118,3991,2207,2745,942,2111,1761,921,2085,1997,6426,1480,7015,5902,982,7871,9970,6539,4460,5208,345,384,448,2614,2.57524,2.53581,113317,110125,1.92384e+06
SDSU_50186,1261,718,2599,1287,373,2652,4212,2715,1152,4047,2699,2109,1696,2936,601,1688,2083,660,1617,983,3469,1377,5022,3475,897,5077,7759,5969,4305,3816,183,508,484,2140,579,675,2492,1402,379,2825,5189,2530,1098,5019,2782,3426,1631,2535,778,1751,1475,812,2093,1382,3937,1161,5432,4803,468,5819,7543,5161,3641,3571,308,446,416,2314,2.51711,2.56271,82567.1,85874.6,1.44442e+06
SDSU_50188,1139,756,2503,1599,508,3733,5450,3890,1468,6163,3190,2468,2473,3574,935,1789,2440,798,1898,1268,4787,1278,5275,5774,1129,7964,9439,7093,4820,4430,266,432,499,2459,955,927,2043,1876,580,4177,5982,4542,1523,5295,3101,3275,2349,4043,755,2003,1767,990,2056,1767,5181,1477,5729,5451,899,8188,9194,7124,4146,4292,394,586,502,2386,2.51871,2.53493,103688,105556,1.74511e+06
SDSU_50189,1036,663,2904,1105,386,3405,4534,3075,976,5289,2834,2128,2006,2893,642,1802,1771,709,1405,997,4438,1126,5705,4068,961,6467,8142,5313,4055,3821,200,411,480,2301,904,806,2478,1543,432,2982,4991,3289,998,5089,2787,2716,1920,3118,800,1764,1744,807,1729,1114,3902,1408,5419,4621,659,5989,8674,5751,3846,3108,271,521,416,2248,2.5162,2.51218,88049.6,88842.7,1.63146e+06
SDSU_50191,1256,565,2488,1242,446,3562,5296,2765,913,4854,2543,2092,1819,2586,684,1420,1654,697,1311,798,4550,1176,5433,3674,675,4933,7831,5149,3795,3832,217,444,396,2218,1050,665,2595,1602,261,3256,6237,2402,916,4915,2517,2539,1652,3449,744,1635,1613,597,1372,1184,4094,1005,4702,4260,615,5294,7322,5085,3828,4041,287,402,343,2030,2.63929,2.66086,83313.1,84509,1.60596e+06
SDSU_50193,907,643,2633,1596,375,3535,4650,3543,1066,5139,2715,3246,2087,3593,748,1324,2060,668,1902,1394,4407,1200,5559,4186,778,6121,7917,5568,4120,4335,208,462,442,2206,773,673,2876,1606,282,3734,5012,2872,911,5474,2935,3151,1978,3480,645,1696,1622,926,1585,1589,4441,1204,6148,4398,616,6101,7493,5137,4149,4607,384,399,447,2139,2.74177,2.7523,91333.5,91485.5,1.56554e+06
SDSU_50194,879,658,2321,1472,512,3470,5086,3185,930,5084,2637,2895,1614,2465,747,1239,2063,663,1425,1317,4364,1167,5245,3593,772,5594,7430,5061,4129,4204,190,511,555,2135,909,758,2266,1582,319,3164,5439,3475,918,5074,2437,3280,1717,3461,764,1359,2032,674,1767,1661,4118,1165,5073,3690,767,5312,6729,4395,3328,3657,334,406,281,1965,2.75635,2.593,85610.6,84276.6,1.44016e+06
SDSU_50195,1098,900,2456,1456,420,3899,4894,3334,929,4927,2578,3622,1863,3432,676,1487,1584,700,1079,1685,5060,1269,5083,3221,901,6035,7569,5764,3872,3884,229,549,461,1958,1177,1135,1991,1788,358,3284,5570,2922,971,4601,2737,3496,1870,3859,691,1852,1319,803,1217,1677,4976,1267,4978,3425,764,6418,7101,5802,3624,3862,271,408,353,2003,2.57829,2.58597,88872.3,88569.1,1.32532e+06
SDSU_50196,1090,743,2627,1398,534,3715,4612,3338,963,5120,2811,3155,1756,2936,761,1464,1984,793,1234,1436,4049,1223,4904,3852,974,7306,8436,6134,3843,4074,261,539,481,2527,891,1287,3175,1635,363,3314,5210,2802,923,5049,2517,2832,1939,3247,634,1548,1293,729,1516,1377,4176,1147,4840,4521,1122,5783,6590,5501,3854,3945,331,421,436,2155,2.68314,2.70827,91073.7,87105.1,1.43815e+06
SDSU_50198,1117,682,2464,1296,604,3772,4964,3288,1280,5167,2207,3226,1920,3218,959,1409,1761,655,1370,1173,4678,1421,5060,4167,864,7108,7677,6428,3956,5789,302,652,564,2159,1196,686,2305,1419,378,3600,6650,2639,1282,3923,2185,2999,1617,3919,887,1715,1927,781,1620,1279,4475,1365,5677,4547,691,6591,7531,6470,4395,5036,425,418,447,2677,2.43415,2.39459,93355.8,93750.4,1.70632e+06
SDSU_50199,864,610,2829,1344,362,3203,4064,3447,1051,4058,2736,2800,1919,2862,546,1282,1465,747,1352,1120,4012,906,4998,3644,741,5931,7004,5773,3832,4396,180,517,397,1806,985,685,1552,1362,367,3150,5163,3143,733,4456,3161,2984,1851,3342,662,1442,1116,915,1173,1277,3770,1162,5290,3706,714,6884,7893,5405,3567,3488,304,411,402,1627,2.79464,2.75407,82797.5,84141.2,1.45031e+06
SDSU_50200,980,770,2802,1487,392,3341,4704,3753,890,4926,2465,3136,2056,3072,732,1747,2516,640,1548,1460,4496,1374,5397,4013,946,6329,7187,6309,3077,3644,292,382,352,1984,1046,822,2486,1583,343,2844,6057,3155,1035,5361,2401,3312,1935,3520,648,1610,2219,895,1876,1453,4629,1488,5569,4231,703,6098,7499,5559,3692,3516,306,320,307,2014,2.62625,2.58227,89198.4,90529.7,1.48265e+06
SDSU_50201,1024,617,3095,1471,388,3417,5099,3179,1023,5960,3043,2854,1838,2268,659,1540,2147,746,1359,928,5254,1019,6674,4577,714,5640,7664,7253,4294,5153,241,567,504,2383,826,1113,2522,1804,439,3397,6296,3026,1100,5199,3348,3438,1945,3285,650,1652,1523,908,1662,1608,4867,1447,6134,4845,861,6504,7042,7283,4405,4560,314,554,385,2168,2.48175,2.52795,94591.2,97107.1,1.66922e+06
SDSU_50202,1150,674,1886,1331,296,3332,4903,2724,976,5046,2246,2361,1517,2893,726,1304,1715,568,1087,1062,3966,1134,4232,3616,635,6744,6346,5191,3515,3677,211,496,410,1900,972,724,1678,1435,339,3043,5564,3081,966,4282,2095,2604,1484,3068,703,1453,1153,669,1407,1400,4228,1152,4867,3669,509,7441,6651,4615,3509,3508,240,453,272,1913,2.78046,2.78908,79871.3,81144.6,1.46498e+06
SDSU_50203,1090,790,2995,2002,571,3647,5190,4377,1048,6054,2971,3987,2202,3683,659,1320,2016,775,1566,1852,4886,1508,5322,4054,1034,7340,8692,6362,4089,4097,228,499,415,2147,1164,1233,2568,1893,303,3476,5967,3550,1104,5854,3029,3722,2211,3746,703,1488,1500,1005,1656,1923,4505,1335,5145,4282,847,7784,7903,6318,4148,3898,357,466,379,1908,2.63785,2.63984,99465.2,97370.4,1.65506e+06
SDSU_50204,1118,822,2232,1597,428,3233,4301,3306,1013,5095,2553,3090,1810,2947,707,1442,2066,545,1293,1071,4294,816,5474,3683,730,5813,6439,5522,3387,3354,198,494,412,1806,931,627,2002,1440,351,2964,5333,2837,823,4899,2452,2725,1882,3186,694,1625,1888,668,1306,1232,4006,1197,5185,3716,536,5585,6519,5134,3518,3216,321,365,289,1849,2.59785,2.57461,83091.2,81300.2,1.33332e+06
SDSU_50205,1197,962,2801,1476,409,3299,4857,3770,1086,5645,2931,2980,1912,3308,614,1286,1877,626,1350,1570,3641,1375,4777,3668,1001,5979,7265,4323,3578,3411,182,428,434,1966,914,841,2689,1459,490,3443,5085,3419,874,5012,2891,2833,1881,3520,615,1701,1829,797,1515,1615,3230,1276,4849,3704,688,6439,7818,4285,3531,3318,271,505,279,2341,2.65508,2.61207,85984.8,85954.7,1.48857e+06
SDSU_50206,1190,673,2117,1206,284,2963,5174,3370,1019,4983,1989,2890,1522,3109,674,1342,1874,615,1278,1193,4396,1308,4219,3843,703,5971,6856,6345,4061,4095,231,424,411,1983,1054,776,2117,1550,256,3314,6346,3330,906,4365,2506,3087,1732,3639,669,1680,1302,734,1621,1601,4238,1288,4205,4339,549,5680,6438,5645,3604,4077,343,395,316,2047,2.60272,2.64712,84311.5,85748.5,1.38152e+06
