SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
Trinity_50232,815,685,3328,1774,567,3846,4974,4056,1150,5083,2941,3908,2272,2971,851,1301,1781,773,1510,1890,4822,1342,5305,5062,909,6269,8487,6859,4977,5546,279,502,634,2695,1101,810,2731,1778,345,3596,5613,3758,1129,5511,3112,3636,1931,3940,729,1450,1356,887,1880,2001,5458,1408,5445,5531,611,6668,7672,6903,4126,4759,393,417,392,2426,2.52424,2.54634,100165,99502.9,1.87164e+06
Trinity_50233,1275,1023,2991,1857,503,4611,5838,4530,1134,6070,2740,4364,1794,3747,758,1731,2141,752,1613,1793,4809,1619,5850,5175,1272,7316,8875,7091,5660,5719,267,637,688,2458,1270,1323,3163,2031,452,4411,7939,4506,947,5939,2985,4135,2043,4436,998,2102,1942,844,2074,2096,4928,1593,5729,5709,987,7227,8063,6547,5028,4574,328,346,496,2446,2.6213,2.61739,108703,109636,1.60486e+06
Trinity_50234,1563,1155,3063,1797,483,5070,5915,3975,1652,6151,3567,3834,2228,4139,1026,1869,2227,726,1860,1851,5567,1531,5817,4541,1179,8921,8911,7346,5024,5244,221,455,545,3070,1165,1664,2564,1675,507,4131,7437,4459,1346,5326,3188,3031,2020,4541,851,2131,1622,1132,2513,1769,4835,1694,5745,6281,1212,8589,8426,7619,5313,5786,335,422,458,3667,2.5904,2.57492,112524,113455,1.92261e+06
Trinity_50235,866,654,2191,1300,463,3246,5130,3856,1312,5796,2590,3748,2003,2648,858,1262,1654,533,1315,1383,3790,1364,4890,4088,873,6197,7828,5823,3802,3538,230,526,545,2200,976,644,2246,1240,417,3476,5214,3387,1255,4833,2484,3360,2013,3076,689,1514,1581,800,1422,1647,3416,1318,5003,4078,553,6693,6919,6331,3653,3535,304,405,423,2048,2.69202,2.66246,88501.8,86954,1.65194e+06
Trinity_50236,1028,656,2693,1728,383,3605,4616,3221,1332,4990,2881,3198,1602,3301,777,1285,1614,602,1328,1686,4560,1323,4926,3889,784,6859,7240,6055,3849,4044,191,508,561,2540,1109,759,2060,1793,392,3634,5495,2871,1054,4439,2631,3146,1760,3848,781,1658,1314,707,1475,1796,4337,1215,4797,4285,890,6595,7819,5841,3744,4090,204,500,448,2197,2.59211,2.58238,89857,89688.5,1.51648e+06
Trinity_50237,1345,923,2422,2042,452,4544,5645,3998,1334,5328,3269,3563,1950,3949,947,1431,2464,845,1509,1824,5040,1677,4723,4413,1052,6884,8771,6351,5234,4701,220,564,667,2612,980,894,2859,1900,361,4298,6799,3833,974,5712,3127,3520,2012,4091,927,1633,1616,1089,1917,1897,4167,1571,4896,4853,939,6896,8027,6621,4680,4724,334,462,409,2479,2.49682,2.46726,102695,101493,1.45791e+06
Trinity_50238,1547,904,2811,1753,345,3403,5144,3665,1243,5191,2705,3671,2116,2879,777,1499,1445,695,1362,1395,3880,1357,4969,3875,1062,6794,7479,6090,3552,3914,250,543,495,1958,1057,1197,2362,1586,349,3443,6784,3479,1122,4579,2487,3216,1961,3453,726,1562,1117,861,1264,1463,3949,1519,5181,4204,1003,6729,8135,5739,3419,3832,315,517,334,1834,2.69803,2.6996,90766.3,90778,1.66442e+06
Trinity_50239,1248,662,2811,1975,936,4357,6383,4954,1710,5450,2808,4067,2218,3976,1443,1525,1759,858,1771,1964,5251,1326,5757,4938,847,7199,8925,7422,4498,5236,274,659,491,2650,1286,1024,2580,1725,559,4362,7618,4613,1383,5707,3125,3611,1748,4763,896,1670,1685,926,1530,1955,5500,1502,5703,5089,817,7491,8364,6919,4459,4589,401,512,335,2664,2.57658,2.56576,108345,107110,1.94515e+06
Trinity_50240,1448,655,2199,1707,477,3571,5096,3771,948,5182,3288,3292,1744,3422,702,1140,1462,692,1228,1662,4366,1333,4593,4504,911,6172,7550,5934,4207,4341,130,465,533,2139,941,830,2181,1700,614,3651,6356,3818,906,4802,3108,3406,2021,3926,830,1888,1760,900,1434,1855,4005,1032,4460,3965,821,6344,7956,5523,3887,4087,303,404,371,2186,2.80767,2.70683,90864.8,92271.6,1.59988e+06
Trinity_50241,1006,894,2549,1630,472,3680,5190,3929,1309,5319,2845,3477,1959,3589,857,1292,1692,726,1395,1548,4959,1241,6065,4626,1056,7265,7785,6109,4092,3925,243,570,555,2229,906,946,2998,1791,501,3731,4666,4035,1243,5293,2789,3383,2151,3539,947,1436,1221,926,1810,1731,4583,1251,5232,4542,791,7337,7588,6672,3725,4272,407,462,393,2367,2.55971,2.57995,96076.2,95663,1.79544e+06
