SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
UCLA_51201,1054,759,2496,1369,328,3764,5547,3653,1346,5883,2849,3324,1730,3253,800,1369,1351,660,1392,1262,4018,1304,5061,4134,869,5555,7845,5533,4074,4174,179,509,467,2062,1288,800,2089,1684,340,3262,5515,3933,1147,5313,2638,3262,2135,4402,759,1607,1285,757,1492,1605,4349,1537,5142,4507,606,6423,7291,5278,4045,4520,320,494,334,2152,2.49737,2.57542,89972.5,92312,1.56388e+06
UCLA_51202,935,581,2225,1365,488,3786,4012,3443,1238,4968,2616,3003,1815,3273,753,1310,1990,757,1675,1360,5619,1336,4729,4537,923,7007,8832,6881,4094,4232,261,528,541,2058,1348,707,1777,1791,399,3709,6333,3285,1287,5151,2907,3348,1845,3934,818,1481,1819,906,2382,1702,3960,1254,4803,4705,819,7243,8005,6245,3918,4024,269,400,362,2114,2.81757,2.75218,93170.6,95047,1.50018e+06
UCLA_51203,1170,629,2108,1509,431,3705,3937,2937,940,4689,2513,3117,1313,2706,641,1186,1573,657,1218,1389,4041,1028,4071,3533,865,5029,6521,4568,3598,3507,159,515,360,1944,997,638,1543,869,319,2794,5947,2758,938,4014,2201,3072,1726,3078,626,1319,1325,744,1746,952,4098,1099,4498,4422,684,5507,6171,5044,3445,3515,305,463,291,2195,2.67227,2.73019,78107.1,79344.5,1.3453e+06
UCLA_51204,1031,594,1848,1332,248,2909,4434,2385,846,4403,2458,2967,1542,2942,714,1391,1299,523,1397,1286,3597,1247,4137,3011,756,5449,5822,4683,3229,2795,158,369,367,1957,802,718,1915,1412,188,2718,4396,3075,831,4623,2157,2811,1700,3234,613,1369,1188,583,1121,1194,3722,1103,4255,3335,555,5154,5921,5470,2933,3158,271,421,323,1748,2.65248,2.65302,74123,75016.9,1.19924e+06
UCLA_51205,1057,719,2011,1301,501,3733,5162,3465,1172,5294,2732,4135,1680,3227,856,1354,1886,707,1427,1486,4312,1182,4749,4242,913,6528,7097,6252,4006,3950,166,482,492,2100,1283,701,1393,1405,497,3618,6156,3308,1198,4249,2601,3987,1747,3943,893,1724,997,868,1544,1614,3399,1338,6935,3875,712,7530,7818,4959,3782,3713,233,490,350,2222,2.56455,2.52507,90378.1,91081.7,1.51582e+06
UCLA_51206,1230,938,3312,1539,396,3429,5239,4198,1519,6458,3127,3753,1951,3727,802,1502,1647,789,1641,1449,5260,1695,6035,5165,1204,8215,9389,5899,4360,5402,277,465,494,3022,1401,844,2377,1447,446,3754,6650,4139,1587,5409,2916,3705,2056,4595,875,1548,1495,915,2256,1699,4873,1420,5879,5602,910,8302,9497,6010,4658,4358,307,438,464,2808,2.56834,2.60313,105525,105642,1.81022e+06
UCLA_51207,960,536,2144,1480,324,2993,4671,3317,847,4518,2561,2920,1614,2990,771,1421,1784,526,1614,1384,4083,1093,4497,3436,584,5819,7116,4776,3732,3417,183,479,542,1943,1018,643,2239,1477,250,3220,5573,2993,858,4383,2561,2887,1598,3814,717,1521,1498,749,1876,1562,4171,1177,4694,3248,512,5891,6692,5129,3625,2946,255,445,376,2096,2.50914,2.49628,81077.5,82692.3,1.24917e+06
UCLA_51208,934,496,1583,1439,311,2624,3562,2391,820,3512,2243,2262,1292,2053,568,1234,1297,487,1252,1027,3691,1086,4306,2789,641,4608,6215,4450,3512,3836,196,462,452,1847,742,568,1455,1122,302,2794,4866,2730,734,3793,2013,2037,1673,2726,516,1328,1139,654,1333,1012,3317,1010,4044,2933,441,4271,6180,4859,2920,3143,239,341,278,2002,2.64935,2.66648,69480.6,69514.3,1.31371e+06
UCLA_51209,996,671,2344,1506,342,2717,3332,2888,1086,4108,2320,2395,1554,2630,680,1439,1788,570,1425,1189,3940,1271,4767,3772,639,5926,6795,5986,3188,4637,162,469,409,1885,1000,812,2383,1459,277,3084,5602,2497,1086,4439,2051,2435,1569,3347,684,1560,1255,626,1334,1140,4005,1216,4827,4053,713,5133,6762,5414,3164,3154,369,401,277,1783,2.48055,2.30193,79821.7,79914.2,1.43638e+06
UCLA_51210,1018,639,2537,1703,424,3154,4398,3071,1672,4851,3091,3739,1902,3015,1120,1143,1749,688,1519,1712,5264,1139,5227,4705,1272,6565,7659,6605,4338,3915,220,495,472,2154,1053,1037,2453,1905,495,3370,5706,3199,1121,4462,2885,3541,1898,3497,636,1540,1607,770,1285,1986,4608,1451,5288,4925,736,6628,6995,6429,3500,3326,333,490,284,1981,2.63964,2.58207,93174,91419.5,1.51055e+06
