SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
UM_50272,1307,900,2537,883,246,2923,3971,2844,1195,5312,2337,3089,1796,3116,613,1994,1382,515,1195,759,4401,1332,5149,2875,912,6089,8144,4159,3355,4197,194,423,527,1973,804,791,2006,898,303,1880,4652,2461,1047,4361,2651,1455,1756,3524,466,1814,1187,861,1222,813,3360,996,4451,3501,776,5748,7153,4896,3036,3568,379,343,243,2115,2.32628,2.33827,82643.9,75518,1.35799e+06
UM_50273,1510,905,3233,1461,545,3212,6030,3710,1023,4643,2415,2309,2496,3746,762,2110,1910,655,1604,1069,4768,1580,6053,4216,992,6541,9318,5011,4690,3882,246,490,520,2375,954,612,2676,1565,508,3600,6085,3887,1219,5095,3109,3112,2193,3773,561,2414,1597,863,1934,1145,5053,1488,5808,4334,711,6764,8499,5136,4740,4259,336,509,371,2454,2.3423,2.45812,96030.6,97365.7,1.71526e+06
UM_50274,1408,1130,2293,1288,479,3550,5027,3214,1487,7520,2685,2217,2048,3752,668,1847,1934,732,2034,1300,4179,1429,5870,4401,1029,7437,9736,5831,4407,3810,307,411,455,2863,1090,1035,2418,1634,435,4027,7085,3800,1092,5706,2650,3484,2144,4384,808,2170,1473,929,1425,1422,5103,1068,5198,4562,916,6785,9872,5929,4224,4613,354,492,316,2655,2.37878,2.46982,98778.3,101301,1.67872e+06
UM_50275,1011,535,2191,1415,373,3479,4351,3062,867,4512,2597,2793,2127,2860,897,1404,1679,602,1521,1259,4145,1200,4705,4284,742,5653,8357,5531,4665,4573,253,560,525,2205,851,726,2398,1441,348,3095,4851,2949,862,3969,2706,3077,1788,3053,705,1398,1541,805,1526,1483,4100,1285,4811,4402,582,5586,8012,4888,3849,4122,299,375,482,2511,2.69412,2.60634,86934.1,84872.7,1.45429e+06
UM_50276,1246,547,2169,1278,461,3301,4347,2902,758,3985,2128,2673,1723,3164,837,1349,1707,612,1255,1149,4149,894,4374,3253,600,5463,6985,5543,4105,3582,226,509,496,2129,714,721,2126,1260,501,3120,4743,3046,819,4103,2100,2109,1632,3233,786,1129,1350,725,1822,903,4379,1080,4829,3067,460,5671,6565,4965,3905,4039,298,457,356,2043,2.29402,2.39187,79898.9,79056.5,1.43318e+06
UM_50277,1650,524,1645,1317,531,2676,4215,2372,785,4724,1732,2616,1700,2911,666,1295,1671,542,1278,1069,3526,1291,4478,3556,666,5434,6795,4970,4198,3779,242,396,488,1961,593,465,1628,956,467,2800,4256,1803,787,3783,2253,1762,1793,2222,650,1691,1600,750,1570,715,3262,1087,4213,3403,502,5546,6727,4146,3330,3261,258,432,364,2015,2.20021,2.35468,77702,71090.7,1.3889e+06
UM_50279,1097,533,2134,1337,426,3277,4250,3366,851,3902,2601,2523,1430,2519,665,1170,2148,553,1231,1045,3536,1058,4665,3675,723,4682,6260,4896,3564,3667,159,424,475,2136,941,636,2181,1357,401,3091,4851,2931,801,4173,2305,2677,1647,2754,628,1575,1351,716,1504,1110,3436,967,4275,3790,586,5795,6036,4523,3435,3380,258,391,367,1941,2.48823,2.46386,76980,76811.5,1.34387e+06
UM_50280,1004,639,2480,1448,442,3686,4865,3330,1139,4733,2909,3625,1869,3292,815,1616,1276,721,986,1548,4842,1059,5729,4258,824,6634,8079,6026,4015,4059,219,458,418,1990,912,787,2275,1874,366,3949,5221,3147,1100,4991,2883,3180,1751,3216,658,1753,1462,866,1251,1643,4546,1320,5312,4358,737,6853,7225,6452,3449,3839,299,335,322,1932,2.50348,2.42852,91033.8,90262.6,1.58453e+06
UM_50282,1069,532,2356,1500,536,3557,5955,3559,1108,4982,2805,3249,1717,3524,972,1402,1722,679,1589,1070,4503,1167,4751,3999,743,5959,8081,5742,3791,4129,232,535,469,2241,1094,897,1984,1680,384,3227,6742,3315,927,4647,2705,2944,1862,3531,742,1708,1308,831,1740,1414,4351,1288,5045,4080,611,7092,7042,6068,3933,3632,328,415,402,2345,2.61015,2.60531,90226.2,90310.1,1.5779e+06
UM_50284,723,448,2333,1478,325,2987,4405,2176,827,4820,2145,3159,1691,2437,724,1503,2019,549,1342,1204,3915,992,4863,3593,588,4650,7627,4656,3177,3807,214,385,462,1837,889,777,1962,1636,389,2607,5189,2617,900,4455,2257,2884,1182,2709,658,1465,1391,666,1572,1363,4032,1036,5377,3728,577,5442,6249,5642,2918,2770,294,363,346,1926,2.55098,2.54629,78060.2,78262.8,1.28916e+06
UM_50285,869,707,2614,1335,578,3340,4250,3954,717,4379,3459,3254,2608,3125,907,1799,1589,827,995,1382,4502,1236,5419,4320,1086,5219,7485,5357,4151,5208,313,551,555,2466,1009,782,2607,1374,415,3036,4982,3549,917,4015,2944,3033,2209,3896,984,1604,1671,775,1529,1446,4695,1182,5612,4326,605,5704,8188,6277,4163,4784,300,454,426,2627,2.57599,2.54234,90555.9,92120.4,1.50593e+06
UM_50286,1097,533,2134,1337,426,3277,4250,3366,851,3902,2601,2523,1430,2519,665,1170,2148,553,1231,1045,3536,1058,4665,3675,723,4682,6260,4896,3564,3667,159,424,475,2136,941,636,2181,1357,401,3091,4851,2931,801,4173,2305,2677,1647,2754,628,1575,1351,716,1504,1110,3436,967,4275,3790,586,5795,6036,4523,3435,3380,258,391,367,1941,2.48823,2.46386,76980,76811.5,1.34387e+06
UM_50287,1106,748,3973,1276,490,3693,7126,4619,1127,6582,2801,3011,2593,3662,701,1638,2124,852,1618,1006,5126,1754,5456,4807,941,6941,9881,7696,4080,4907,328,615,466,2740,1234,1071,3347,1016,523,4319,6535,4464,1404,4499,3222,3764,2363,3805,975,2421,1854,1075,2219,1070,5107,1123,5728,5294,1118,7267,9091,7527,4228,6345,479,605,540,2675,2.53748,2.38389,106486,108307,1.76817e+06
UM_50289,788,646,2175,1458,369,3018,4312,3151,984,4193,2699,2572,1879,2719,696,1328,1679,538,1429,1226,4100,1104,4696,3982,829,5897,7843,6101,3625,3602,240,589,350,2036,632,841,2125,1618,385,3186,6011,2510,1098,4330,2600,3469,1976,2862,637,1352,1333,741,1596,1269,3734,1358,5646,3996,654,5466,7570,5651,3297,3555,365,405,389,2067,2.43398,2.45032,82855.1,84723.1,1.23858e+06
UM_50290,1162,683,3119,1284,543,3949,5929,3558,1013,5205,2873,3327,2131,3640,799,1421,2042,723,1606,1129,4689,1626,5430,3728,1031,6873,8385,5319,4375,4738,238,563,544,2163,974,832,2318,1563,404,4259,5712,3223,997,5387,3079,3858,1988,3566,831,1682,2186,833,1723,1475,4481,1676,5621,3925,953,6963,8277,5576,4008,4209,353,448,364,2232,2.64605,2.59371,95833.9,95979.9,1.45949e+06
