SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
USM_50432,1464,1529,3660,1703,632,4917,5457,4938,1193,6199,3675,3263,3084,4587,1047,2255,2107,953,1757,1547,5042,1437,5868,5003,1005,7929,10140,6925,5705,5353,260,529,643,3280,1478,974,3990,1681,459,3830,8157,4913,1206,6620,3617,3888,2810,4998,935,2292,2384,1132,2194,1734,5121,2004,6347,4896,1167,9103,10122,7000,4880,4564,353,626,444,3380,2.68733,2.65596,115089,119302,2.28984e+06
USM_50433,1152,831,2660,1675,499,3623,5790,3631,1360,5366,3129,3500,1886,3486,648,1404,1734,644,1115,1550,4612,1213,5086,4303,760,5950,7534,5644,4133,3761,215,467,428,2533,1073,886,1954,1906,277,3172,6448,3952,1127,5328,3005,3699,2071,3611,688,1489,1180,832,1587,1955,4828,1293,5320,4675,714,6542,7525,5838,3698,3685,273,450,385,2213,2.64153,2.58865,92319.2,93679.4,1.62819e+06
USM_50434,852,734,1826,1702,361,3123,4680,3164,864,4569,2235,3668,1702,3100,557,1145,1731,535,1371,1721,3914,1185,4165,3514,713,5697,6948,4855,3665,3674,238,535,408,2069,836,569,1807,1612,384,2883,4771,3050,736,5046,2379,3352,1501,3328,589,1354,1263,734,1399,1656,3491,1043,4792,3785,658,5622,7064,4900,3221,3908,259,383,325,2113,2.74823,2.74347,81220.6,80815.5,1.38407e+06
USM_50435,1104,835,2635,1556,369,4492,5501,4182,1283,5867,3163,3598,1997,3675,738,1523,1595,824,1607,1361,5772,1563,5914,4771,1147,7969,8376,6045,4119,4180,230,496,429,2079,1072,858,2439,1809,252,3750,6395,4026,1215,5681,2921,3181,2152,4446,764,1616,1782,1069,1656,1850,4210,1397,5163,4397,777,7687,8193,6546,3790,4459,367,376,334,2276,2.70222,2.60398,100995,98903.4,1.73549e+06
USM_50436,1048,748,2346,1396,384,3633,4965,3575,874,5184,2706,3707,1912,3447,866,1263,1702,654,1364,1481,4455,1431,5052,3995,884,6232,7760,5737,4138,4508,217,508,421,2375,1054,1053,2133,1541,254,3121,6618,3490,893,4439,2760,3667,1897,3833,787,1808,1620,901,1354,1656,4534,1659,4981,3788,806,6678,7010,5688,3949,4007,263,394,413,2457,2.84936,2.81303,90968.4,91505.6,1.64995e+06
USM_50437,1382,583,2402,1567,420,4171,5231,4502,1044,5679,2812,3361,1970,3560,840,1646,1383,696,1743,1350,4838,1204,5729,4608,1100,6572,9130,6540,3763,4218,258,529,470,2425,1194,577,1997,1592,433,3772,6059,3981,980,5046,2703,3612,1932,3930,923,1796,1533,868,1697,1611,4649,1231,5437,4797,791,6910,9044,6580,3892,4021,329,398,320,2556,2.67212,2.59031,97723.8,97190.1,1.65102e+06
USM_50438,1232,546,2554,1560,437,3426,5024,4242,1041,5043,2817,3307,1945,3812,698,1320,1731,686,1644,1433,4405,1115,4832,4249,721,6230,8123,5182,4878,4008,149,477,456,2241,1216,508,2465,1548,220,4165,6598,3644,1121,5181,3073,3245,1753,3993,802,1458,1414,985,1544,1552,3825,825,5473,4260,812,5976,8188,5804,3835,4254,268,561,442,2196,2.92484,2.88608,91562.4,93202.6,1.62699e+06
USM_50439,1432,723,2450,1552,692,4312,5145,3485,955,5764,2891,3021,2621,3887,847,1852,2012,849,1939,1496,4677,1424,5517,4604,981,7685,8824,5553,5097,5155,248,586,454,2710,1396,1026,2444,1659,497,4031,6883,3578,1228,5892,3055,3264,2101,4031,872,2012,1907,984,1950,1575,4690,1214,5625,5004,1124,6751,9370,5507,4387,4074,251,432,326,2502,2.54966,2.55928,101441,101644,1.81827e+06
USM_50440,893,561,2634,2058,320,3563,4930,3543,1249,5446,2770,3628,1956,3303,660,1193,2132,661,1461,1903,4776,1270,5024,4477,920,5693,7555,6247,3885,4540,157,521,486,2186,865,805,2587,1790,361,3755,5760,3590,1299,5636,2540,3791,1872,3654,675,1582,1938,702,2235,1871,4236,1183,4908,4722,782,5938,6728,5761,3688,4745,243,443,330,2304,2.52921,2.53216,92604.2,93318.6,1.62759e+06
USM_50441,873,820,2561,1891,387,3195,4950,4466,875,5608,2904,3356,1938,3604,619,1277,1770,710,1359,1614,4509,1369,5220,4027,1063,7190,7701,5233,3545,4410,261,582,449,2178,1132,892,2718,1713,383,3561,6155,4105,1163,5486,2884,3305,2110,3893,687,1415,1652,826,1420,1586,4233,1088,5211,4292,776,7147,7596,5214,3505,3998,344,538,367,2442,2.77339,2.71897,92513.9,93834.4,1.71675e+06
