SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
Yale_50551,817,755,2040,1271,370,3868,4133,2707,1122,5175,2044,2520,1670,2730,691,1411,1681,535,1357,1159,4321,1310,5450,3438,828,5779,8312,5771,3752,4760,248,439,474,2004,734,881,2090,1515,214,3450,4349,2179,1046,4544,2199,3320,2016,3337,661,1656,1297,918,1228,1289,4080,1182,4861,3951,715,6011,7349,6041,3572,3419,410,496,409,1829,2.38518,2.48868,84941,83245.6,1.5748e+06
Yale_50552,1200,784,2780,1694,336,3639,5801,3665,1327,5481,2643,3796,1677,3615,747,1472,1473,661,1186,1601,5073,1379,5511,4443,821,5974,8489,5599,3730,4188,225,537,419,1884,1222,1031,2090,1771,286,4231,5903,3482,1043,5280,2273,3146,1948,3454,689,1502,1467,706,1421,1598,4552,1484,5219,4891,592,6432,7008,5544,3562,4251,313,466,351,2071,2.45709,2.42009,93852.3,91279.7,1.68445e+06
Yale_50553,1053,812,2372,1418,442,3355,5129,2778,972,5069,2997,3433,1824,2529,780,1141,1704,582,1174,1380,3707,1245,4376,4046,869,5605,6768,5499,3262,3419,235,384,384,2072,828,923,1822,1634,461,3222,5707,2777,944,4572,3035,3559,1617,2699,772,1372,1268,755,1376,1719,3602,1288,4214,4082,812,5471,7394,5947,3081,3478,286,459,329,1985,2.71352,2.74377,82812.9,83489.1,1.29059e+06
Yale_50554,868,536,2312,1420,336,2738,3944,2457,795,4658,2238,2975,1803,2533,568,1315,1462,588,1287,1292,3944,960,4322,3348,709,5819,6779,5177,3243,2984,219,514,343,1840,684,716,1703,1442,287,2932,4899,2848,836,4606,2414,2334,1614,2724,652,1384,1088,625,1318,1243,3832,932,4627,3519,683,5283,6682,4761,2935,3211,276,515,305,1839,2.72388,2.70722,76324.7,75748.4,1.36914e+06
Yale_50555,991,666,2646,1572,311,3590,4807,3513,1244,6505,2823,3236,1783,3085,725,1539,1412,623,1413,1580,5291,1210,5463,4105,833,7144,8818,6708,3967,4156,298,683,528,2155,1004,801,2206,1705,287,3746,5172,3759,1139,6021,2445,3732,1873,3625,717,1550,1497,895,1407,1735,4683,1187,6254,5026,627,6731,8166,6981,4091,4179,437,435,485,2087,2.25872,2.24278,95424.9,96685.4,1.45853e+06
Yale_50556,1122,680,2839,1264,386,3038,5656,3045,879,4619,2606,1810,1506,3065,654,1328,1592,688,1518,975,4068,1151,5522,3498,950,5348,7626,5614,3597,3500,210,442,485,2216,695,1047,2560,1643,497,3244,5926,3050,949,4699,2256,2754,1259,2777,603,1536,1212,763,1464,1227,5391,1289,5692,3337,738,6312,6810,6319,3538,3096,365,456,382,2231,2.55417,2.50803,83496.1,86116.8,1.42193e+06
Yale_50557,1141,614,2483,1667,432,3615,4866,2975,1210,5320,3303,3281,1915,3172,954,1240,1797,660,1088,1260,4353,1251,4962,4287,966,5781,7738,6441,4331,4410,282,502,622,2332,905,854,2448,1739,548,3367,4622,2995,1170,5334,3094,3380,2100,2853,716,2032,1288,962,1191,1530,4214,1383,4951,3762,647,5983,7459,5759,4101,3894,287,497,491,2335,2.71699,2.56309,91252.5,88891.3,1.49789e+06
Yale_50558,777,629,2376,1454,384,3068,3862,2664,824,4271,2594,2978,1738,2382,609,1276,1497,579,1281,1236,3308,1109,4633,3065,844,5173,6726,4703,3085,3194,173,395,479,1782,724,822,2389,1214,352,3264,3753,2865,822,4799,2395,2772,1733,2812,534,1541,1314,795,1439,1432,3309,1202,4226,3190,599,5447,6879,4781,3065,2960,241,400,265,1759,2.59853,2.65272,75148.3,76094.4,1.27593e+06
Yale_50559,835,518,2021,1379,591,3275,4510,2944,802,5829,1950,2189,1672,2385,675,1476,1580,585,1226,1085,4639,1194,5138,3434,642,5992,8327,5796,3191,3298,262,528,494,2023,717,708,1943,1562,529,3121,5701,3209,954,4311,2302,2668,1615,2838,735,1628,1327,850,1456,1412,4009,1214,5206,4028,778,5585,6956,5682,3365,2988,285,481,314,1995,2.40844,2.50289,82486.8,82474.2,1.51462e+06
Yale_50560,858,628,2463,1537,477,3136,4365,2573,1016,4787,1906,2564,1401,2202,618,1402,1617,574,1315,1318,4267,1027,4345,3278,701,5614,7980,5846,3401,3324,232,524,577,2015,744,681,2217,1601,321,3049,4794,3104,955,4521,2210,3026,1468,3067,650,1732,1427,726,1547,1455,4023,957,4936,3580,761,6059,7155,5907,3170,3593,324,524,298,2012,2.62821,2.68111,79889.1,82597.2,1.48462e+06
Yale_50561,864,787,2471,1352,499,3105,4973,2915,1195,5013,2948,2879,1791,2678,752,1257,1898,663,1479,1429,4128,999,5209,3611,956,5681,7989,5413,3890,3794,236,588,602,2666,835,670,2684,1546,374,3264,5599,2706,969,5406,2406,3313,2047,2915,696,1582,1759,892,1594,1603,3655,1118,5181,3596,586,5689,8332,6013,3782,3366,350,597,439,2069,2.40409,2.41213,86709.6,87631.6,1.27126e+06
Yale_50562,1006,541,3159,1459,399,2869,5392,3580,1186,5544,2719,3883,2353,2947,903,1621,2103,797,1314,1650,4686,1186,5054,4124,756,5841,8721,6224,3215,3422,288,603,400,2381,800,1114,2330,1761,415,3662,5599,3346,915,5715,2573,3319,1845,2962,506,1762,1679,868,1854,1406,4132,1270,5238,5238,939,6714,7209,5548,3317,3268,392,491,349,2340,2.4764,2.56787,92324.4,90874.4,1.64096e+06
Yale_50563,807,587,2652,1401,268,2324,4031,2382,869,4435,2248,3101,1502,2885,625,1476,1546,469,1008,1398,3912,1119,4748,3046,697,4970,6172,5263,3373,2986,259,436,353,1889,787,682,2212,1394,318,2889,5676,2806,694,4317,1690,3248,1521,3060,698,1461,1386,588,1103,1415,3908,1243,4798,3250,396,5976,6409,5361,3231,2897,354,357,261,1779,2.29056,2.28349,75234.6,78163.2,1.31914e+06
Yale_50564,697,430,2199,1307,362,2048,3933,2298,930,4855,2240,2335,1375,2088,566,1217,1857,557,1040,1182,3664,1066,4274,3162,393,4546,6518,4578,2686,3806,233,549,520,1885,691,651,1514,1315,300,2927,5845,2498,872,4505,1847,2301,1303,2256,479,1200,1489,623,1353,1127,3595,1023,4213,3736,448,5364,6213,5017,2887,3194,294,546,397,1927,2.41597,2.54019,71394.8,73952.6,1.28509e+06
Yale_50565,733,630,2495,1174,200,2525,3505,2119,1257,4237,2006,2376,1573,2261,621,1542,1338,520,1015,1052,3769,1070,4346,3290,565,4516,6377,5729,3122,3148,260,428,373,1599,703,827,2363,1456,209,2438,4264,2323,1009,4429,1922,2465,1418,2759,615,1462,1537,586,1264,1498,3428,1171,4074,4028,518,4609,6247,5606,3010,2821,377,361,282,1654,2.52497,2.50147,71770.3,73732.9,1.40181e+06
Yale_50566,851,454,2360,1398,318,2680,4943,2898,954,4542,2396,3269,1651,2619,503,1397,1597,647,972,1229,3841,1060,4486,3479,518,5709,7596,5718,2642,3004,206,448,362,1759,922,893,2154,1592,406,2737,5179,2568,716,4798,1987,3289,1708,2851,621,1550,1527,703,1431,1656,3485,1145,4104,3867,582,5539,6810,5753,3180,3189,345,593,407,1862,2.525,2.55168,78505.5,80149.4,1.39084e+06
Yale_50567,917,407,1847,1249,346,2879,4799,2724,1259,4764,2372,2953,1419,2878,721,1451,1774,579,1264,1262,3651,975,4030,3522,706,5350,7170,4714,3280,3244,200,448,404,1931,897,840,1917,1390,469,3075,4786,2747,922,4701,2185,2803,1649,2930,854,1456,1135,644,1309,1337,3780,1106,4463,3815,738,5356,6726,4719,3065,3340,221,498,352,2041,2.35658,2.31963,77487.8,78267.7,1.48466e+06
Yale_50568,696,569,2104,1159,403,2765,4400,2316,1167,5448,2311,2652,1499,2564,1365,1564,1351,582,1063,1412,3648,959,4578,3526,859,5369,6323,5083,3598,3683,146,467,384,1857,899,1046,2024,1472,299,3333,5715,2561,815,4295,1967,2463,1561,2662,622,1321,1127,621,1281,1329,3529,1259,4561,4128,825,5235,6302,5321,2842,2689,320,420,320,1944,2.47115,2.40988,77867.7,77106.8,1.45621e+06
Yale_50569,745,558,2429,1245,234,2351,4059,2340,1003,5110,2101,2634,1542,2168,679,1311,1490,435,971,1234,3717,867,4405,3287,850,4741,6689,4940,3059,2991,224,455,350,1873,779,807,1677,1541,300,2518,4121,2633,1044,4648,2131,3290,1658,2584,540,1280,1287,573,1774,1654,3406,1200,4218,3485,754,5824,6272,4984,3094,3328,298,427,294,1908,2.3318,2.29572,73085.5,76331.3,1.20742e+06
Yale_50570,1124,482,2992,1517,286,3250,5114,2864,1039,4848,2588,3323,1785,2784,757,1802,1732,617,1398,1558,4523,1011,5918,4479,1158,6932,9206,6254,3528,3806,229,493,446,2389,804,811,2754,1569,334,2896,5357,2879,912,5499,2339,3419,1665,2937,715,1785,1767,790,1803,1784,4221,1462,5281,4367,745,6550,7653,5968,3542,4366,357,519,293,2555,2.20416,2.24639,92235.1,90698,1.6566e+06
Yale_50571,877,464,2683,1342,303,2789,4827,2817,925,4718,2249,2946,1492,2556,541,1386,1432,672,1308,1394,4751,925,4693,3447,586,5420,6808,6046,3445,2987,229,495,404,1943,809,851,2092,1476,270,2950,4741,2219,813,4454,1908,2769,1371,2816,566,1639,1049,606,1099,1580,3826,1184,4641,3466,705,5429,6659,5659,3578,2974,378,360,279,2004,2.43975,2.52344,79902,77219.2,1.43969e+06
Yale_50572,1058,613,2456,1283,281,3231,4928,2620,1003,4592,2440,2580,1808,2704,733,1588,1386,564,816,1156,4106,1029,4561,3854,865,5834,7867,6171,3387,3642,201,572,429,1918,779,644,2188,1471,284,2917,5498,2923,1064,4154,2351,2793,1465,2891,614,1602,1354,572,1345,1380,3880,1262,4556,4050,668,6541,7122,5970,3393,3593,360,469,268,2009,2.2276,2.24078,82275.5,82428.7,1.44637e+06
Yale_50573,964,685,2908,972,361,3111,4178,2649,1117,4744,1915,2428,1440,3071,665,1442,1670,515,1507,973,3891,1172,4660,3641,552,6094,6581,6246,3061,4295,234,503,474,1862,971,766,2135,1052,343,3302,5065,3127,890,4958,1933,2229,1441,2776,758,1479,1535,677,1534,958,4136,898,4693,4174,694,6401,7674,5586,3383,4228,348,723,376,2042,2.29144,2.36568,80582.4,83287,1.2833e+06
Yale_50574,1041,879,3124,1520,368,3595,5214,2814,1311,4738,2331,3327,1735,2719,603,1302,1806,672,1347,1659,4726,1469,4647,4149,878,6266,7473,6018,3758,4456,207,664,613,2091,940,809,2489,1553,214,3179,5871,2958,1154,5054,2254,3477,1691,3268,577,1526,1710,891,1735,1727,4358,1400,5266,3908,707,6339,7253,6194,3703,3702,354,502,409,2054,2.40606,2.43712,89519.9,89224.9,1.59454e+06
Yale_50575,984,627,2590,1452,368,2875,5937,3519,961,5438,2422,2513,1503,2737,709,1629,1830,663,1268,1585,5061,1298,5382,4171,839,6605,6941,5219,3363,3679,263,562,388,1868,861,675,2356,1693,514,3456,6419,3575,1084,4933,2086,3054,1934,3759,672,1568,1881,858,1685,1658,4557,1295,5307,4261,701,6075,6964,6402,3331,3482,311,535,333,1860,2.26839,2.25438,87249,90133.2,1.61329e+06
Yale_50576,775,382,1681,1183,267,2529,4067,2660,771,4446,2144,2471,1536,2455,685,1245,1271,508,1389,1105,4202,965,4642,3238,577,5070,7545,5493,3089,2810,183,453,361,1678,804,660,1553,1433,206,2627,4152,2912,648,3965,1748,2511,1450,2780,509,1675,1166,698,1146,1173,3341,1020,4158,3814,602,5501,6551,5324,3147,3007,323,349,307,1615,2.40765,2.52076,73874.7,72872.6,1.22592e+06
Yale_50577,804,497,1697,1207,228,2476,3844,2368,659,3586,1972,2377,1612,2405,705,1375,1645,342,1485,888,3547,966,4941,3468,642,5363,6318,4622,2820,3168,153,369,342,1823,766,588,1899,1165,218,2699,5210,2657,803,3942,1742,2513,1211,2684,604,1313,1154,642,1523,941,3554,904,5465,3807,646,6055,6533,4921,3228,2973,358,413,342,1884,2.34394,2.44083,70714.6,75356.2,1.34458e+06
Yale_50578,904,617,2333,1325,359,3115,4365,2951,1018,5190,2414,3215,1385,2495,655,1158,1436,541,1051,1529,3740,973,4763,4152,1033,6149,8006,6017,3333,3979,247,467,434,2024,943,556,1842,1647,409,3551,6441,2992,847,5605,2076,3148,1640,2704,657,1613,1397,754,1464,1749,4287,992,4928,3986,648,6773,8047,5658,3436,3565,296,441,423,2203,2.32917,2.53352,83374.6,87718.2,1.32754e+06
Yale_50601,782,479,2091,1396,423,3383,4059,2655,872,5314,2580,3065,1565,2579,707,1470,1442,715,969,1259,3865,958,5029,3870,806,5316,8201,4839,3449,3872,231,496,379,2111,702,700,2008,1493,281,2840,4572,2917,880,4682,2064,3128,1225,3148,596,1618,1241,961,1602,1252,4468,1212,4844,3590,635,5232,6805,4867,3484,3803,293,496,351,2032,2.22659,2.26939,81227.6,80018.6,1.36191e+06
