"ANTS_roi","FS51_roi","r_value","p_value"
"L.cauantCG","L.cauantCG",0.220655583970114,1.31367349740015e-13
"L.cauantCG","L.parsORB",0.157916614159313,1.38662962898794e-07
"L.cauantCG","R.parsORB",0.20774684230796,3.36498567335099e-12
"L.cauantCG","L.preCN",0.146241214556089,1.09812753302488e-06
"L.cauantCG","R.ENT",0.0996060427938817,0.000934497546144296
"L.cauantCG","L.CN",-0.0661641517950217,0.0281402250785693
"L.cauantCG","R.periCAL",-0.102037388405409,0.000697035043370885
"L.cauantCG","L.rosantCG",0.177829951762882,2.82691710693276e-09
"L.cauantCG","L.caumidF",0.148375009484143,7.61118974938046e-07
"L.cauantCG","R.rosantCG",0.302609068700199,9.48861021554208e-25
"L.cauantCG","L.latO",-0.0673198548780919,0.0254989584299227
"L.cauantCG","L.FUS",0.160179727524049,9.11813073178909e-08
"L.cauantCG","R.LG",-0.0227184974872958,0.451407469469795
"L.cauantCG","R.postCEN",0.0795749842829989,0.00825170155463516
"L.cauantCG","L.periCAL",-0.175086188748377,4.96855015336079e-09
"L.cauantCG","L.SM",0.161584658379717,7.00801829793644e-08
"L.cauantCG","L.parOP",0.205894103698037,5.26969966575354e-12
"L.cauantCG","L.supP",0.0749147335117713,0.0129028069609651
"L.cauantCG","R.posCG",0.187234894731332,3.8228718999036e-10
"L.cauantCG","L.ENT",0.120795141584469,5.86166592295219e-05
"L.cauantCG","R.FUS",0.152847395376077,3.47110488733629e-07
"L.cauantCG","R.supP",0.0981470532396525,0.00111088576138546
"L.cauantCG","R.supT",0.208025622100957,3.14421810170749e-12
"L.cauantCG","R.rosmidF",0.227653847156643,2.07509638562714e-14
"L.cauantCG","R.preCEN",0.148401119348432,7.57688338083294e-07
"L.cauantCG","L.latorbF",0.203059154914205,1.03828906485574e-11
"L.cauantCG","L.transT",0.118846103341506,7.71746704248891e-05
"L.cauantCG","L.posCG",0.164125783058938,4.32831736113363e-08
"L.cauantCG","R.transT",0.120410678585261,6.19052375841289e-05
"L.cauantCG","R.preCN",0.152360663214764,3.78493290130128e-07
"L.cauantCG","L.preCEN",0.11407536925603,0.000148682106059694
"L.cauantCG","L.infP",0.133006025514361,9.5115635637275e-06
"L.cauantCG","R.infP",0.121519827834191,5.28621400289493e-05
"L.cauantCG","R.INS",0.216726674087065,3.60340568856019e-13
"L.cauantCG","R.caumidF",0.191176651859062,1.60166309405986e-10
"L.cauantCG","R.paraCEN",0.164477972307203,4.04629643035086e-08
"L.cauantCG","L.infT",0.141281632797585,2.5236389769718e-06
"L.cauantCG","R.supF",0.285053517241884,4.98401344073307e-22
"L.cauantCG","L.paraH",0.171420784843427,1.0409027384121e-08
"L.cauantCG","L.midT",0.0612440294123992,0.042178283643721
"L.cauantCG","R.paraH",0.187419107322173,3.67208854549632e-10
