"FS51_roi","FS53_roi","r_value","p_value"
"L.cauantCG","L.cauantCG",0.897696808000372,0
"L.cauantCG","L.parsORB",0.12735519801998,6.61118240593571e-05
"L.cauantCG","R.parsORB",0.0664439985939304,0.0379484997337668
"L.cauantCG","L.preCN",0.401818654075431,3.61216048038263e-39
"L.cauantCG","R.ENT",-0.0424952730136583,0.184676553603854
"L.cauantCG","L.CN",0.345850535538582,8.34826396747551e-29
"L.cauantCG","R.periCAL",0.222889305594524,1.87946678406672e-12
"L.cauantCG","L.rosantCG",0.469235759276527,1.36539353667762e-54
"L.cauantCG","L.caumidF",0.235589684515939,8.93142250107578e-14
"L.cauantCG","R.rosantCG",0.338702274802362,1.26713842485991e-27
"L.cauantCG","L.latO",0.394375937058208,1.13547420687356e-37
"L.cauantCG","L.FUS",0.315646227423033,5.091598628916e-24
"L.cauantCG","R.LG",0.264318743486729,4.58900571761668e-17
"L.cauantCG","R.postCEN",0.310526008306515,2.9215765729651e-23
"L.cauantCG","L.periCAL",0.260335367827325,1.38935295908151e-16
"L.cauantCG","L.SM",0.294856046349707,4.97201292883832e-21
"L.cauantCG","L.parOP",0.244398560665452,9.69540966637005e-15
"L.cauantCG","L.supP",0.308510310256554,5.75783576108614e-23
"L.cauantCG","R.posCG",0.503373240589191,7.9903100771628e-64
"L.cauantCG","L.ENT",-0.0317558750399588,0.321654402744286
"L.cauantCG","R.FUS",0.298743776644085,1.4312760805651e-21
"L.cauantCG","R.supP",0.244370381287368,9.76591025296902e-15
"L.cauantCG","R.supT",0.15645407889905,9.02460843220572e-07
"L.cauantCG","R.rosmidF",0.166718847669908,1.6189345432912e-07
"L.cauantCG","R.preCEN",0.296175939936,3.2647966891919e-21
"L.cauantCG","L.latorbF",0.194001304443287,9.88985660355248e-10
"L.cauantCG","L.transT",0.233106931586111,1.64354300994174e-13
"L.cauantCG","L.posCG",0.554619618133952,8.23291443637599e-80
"L.cauantCG","R.transT",0.223395385330571,1.67037813632424e-12
"L.cauantCG","R.preCN",0.355971374651592,1.57015254540158e-30
"L.cauantCG","L.preCEN",0.322563031660279,4.55104485045625e-25
"L.cauantCG","L.infP",0.367753212088384,1.27865413907201e-32
"L.cauantCG","R.infP",0.320161015963605,1.0602880773049e-24
"L.cauantCG","R.INS",0.359626248095372,3.60739333012863e-31
"L.cauantCG","R.caumidF",0.21998754935155,3.67560881327481e-12
"L.cauantCG","R.paraCEN",0.2874501091974,5.0574130578695e-20
"L.cauantCG","L.infT",0.220270043526992,3.44468438312602e-12
"L.cauantCG","R.supF",0.220256356746321,3.45553765616499e-12
"L.cauantCG","L.paraH",0.223369584233692,1.68046356646235e-12
"L.cauantCG","L.midT",0.181750833747419,1.07472483094679e-08
"L.cauantCG","R.paraH",0.236249523274966,7.58608737333089e-14
"L.cauantCG","L.isthCG",0.428162532423552,8.75887780352123e-45
"L.cauantCG","L.parsTRI",0.197078502949787,5.29706150958176e-10
"L.cauantCG","R.infT",0.22602419115347,9.01069837538461e-13
"L.cauantCG","R.latorbF",0.0649673044031454,0.0424392984290945
"L.cauantCG","L.rosmidF",0.229229554971642,4.20110997712443e-13
"L.cauantCG","L.supF",0.288570558538608,3.57624946815119e-20
"L.cauantCG","R.cauantCG",0.524106407091972,5.79040451691641e-70
"L.cauantCG","L.LG",0.286474819572116,6.82935648578934e-20
"L.cauantCG","R.isthCG",0.398678641513713,1.563758292355e-38
"L.cauantCG","L.medorbF",0.253669213945342,8.50566718101294e-16
"L.cauantCG","R.SM",0.317111506481504,3.0688329954926e-24
"L.cauantCG","L.supT",0.17676488299195,2.71223180705172e-08
"L.cauantCG","R.midT",0.22506707091179,1.12912789165129e-12
"L.cauantCG","L.postCEN",0.292524212097436,1.03976788196723e-20
"L.cauantCG","R.latO",0.34412361299505,1.62102714496541e-28
"L.cauantCG","R.parOP",0.240687798047997,2.4974965130071e-14
"L.cauantCG","L.paraCEN",0.338485889877158,1.37436484311244e-27
"L.cauantCG","R.parsTRI",0.136789112423957,1.80188927488583e-05
"L.cauantCG","R.medorbF",0.143565383823615,6.70883721850129e-06
"L.cauantCG","R.CN",0.3059959920271,1.33226126017828e-22
"L.cauantCG","L.INS",0.434495248892447,3.28548010411305e-46
"L.parsORB","L.cauantCG",0.0966366164830965,0.00250918695883812
"L.parsORB","L.parsORB",0.867450960170696,1.461903294851e-297
"L.parsORB","R.parsORB",0.637660167986565,1.65511030614988e-112
"L.parsORB","L.preCN",0.478126215008439,6.76732962231314e-57
"L.parsORB","R.ENT",0.100463505406712,0.00167505076245852
"L.parsORB","L.CN",0.283748594145567,1.57151010407053e-19
"L.parsORB","R.periCAL",0.190144689592899,2.13218195809107e-09
"L.parsORB","L.rosantCG",0.194196038805831,9.50957046900601e-10
"L.parsORB","L.caumidF",0.499656244044256,9.104793925708e-63
"L.parsORB","R.rosantCG",0.17018376377158,8.84596471794498e-08
"L.parsORB","L.latO",0.288938590037924,3.19040088022698e-20
"L.parsORB","L.FUS",0.307981633058842,6.87321450043795e-23
"L.parsORB","R.LG",0.330930650974043,2.25113592416741e-26
"L.parsORB","R.postCEN",0.412564155340415,2.12635090320271e-41
"L.parsORB","L.periCAL",0.19108951780979,1.76898323173358e-09
"L.parsORB","L.SM",0.537168298194024,4.68520424550644e-74
"L.parsORB","L.parOP",0.565241963923493,1.74640216629175e-83
"L.parsORB","L.supP",0.466932419470132,5.26503654014279e-54
"L.parsORB","R.posCG",0.212633645078329,1.92943341597247e-11
"L.parsORB","L.ENT",0.146489478622433,4.31868921860093e-06
"L.parsORB","R.FUS",0.303084449420317,3.48390009014258e-22
"L.parsORB","R.supP",0.448560364263021,1.73627270625056e-49
"L.parsORB","R.supT",0.364542220762427,4.839786211987e-32
"L.parsORB","R.rosmidF",0.633369918112136,1.43380425850696e-110
"L.parsORB","R.preCEN",0.458682408883798,6.08777018684468e-52
"L.parsORB","L.latorbF",0.61291999230734,9.6786684802869e-102
"L.parsORB","L.transT",0.267053826104653,2.12147380408452e-17
"L.parsORB","L.posCG",0.197334784335596,5.0263575213148e-10
"L.parsORB","R.transT",0.296357678993403,3.08055037024379e-21
"L.parsORB","R.preCN",0.506643677005477,9.16150915180518e-65
"L.parsORB","L.preCEN",0.447009846354032,4.05933485379584e-49
"L.parsORB","L.infP",0.534634651894997,3.0096830572988e-73
"L.parsORB","R.infP",0.489317341069101,6.77542090662725e-60
"L.parsORB","R.INS",0.132645791456112,3.2237135188024e-05
"L.parsORB","R.caumidF",0.516588407679368,1.09190419176101e-67
"L.parsORB","R.paraCEN",0.513883387616759,6.96736758450844e-67
"L.parsORB","L.infT",0.396933627801188,3.50666532331874e-38
"L.parsORB","R.supF",0.620565773005663,5.77026302440288e-105
"L.parsORB","L.paraH",0.0770335750334274,0.0160797965540784
"L.parsORB","L.midT",0.442032952646578,6.01949849249802e-48
"L.parsORB","R.paraH",0.0713112872685891,0.0258926799065274
"L.parsORB","L.isthCG",0.176998322242313,2.59869882149989e-08
"L.parsORB","L.parsTRI",0.627984465963667,3.514292611297e-108
"L.parsORB","R.infT",0.324044433825741,2.69101534267316e-25
"L.parsORB","R.latorbF",0.566300974555785,7.38871418798505e-84
"L.parsORB","L.rosmidF",0.649764166809029,3.82152421367181e-118
"L.parsORB","L.supF",0.613405071847687,6.07935882121415e-102
"L.parsORB","R.cauantCG",0.159158685385692,5.79897240942977e-07
"L.parsORB","L.LG",0.332674557046515,1.18882000305648e-26
"L.parsORB","R.isthCG",0.131768085849904,3.63855865008206e-05
"L.parsORB","L.medorbF",0.483426101215748,2.65326431167488e-58
"L.parsORB","R.SM",0.490330413504317,3.57997883240412e-60
"L.parsORB","L.supT",0.368927074078089,7.83035084563438e-33
"L.parsORB","R.midT",0.383134612779352,1.75938796717664e-35
"L.parsORB","L.postCEN",0.434551047078717,3.19080714829407e-46
"L.parsORB","R.latO",0.289392669297929,2.7705698101193e-20
"L.parsORB","R.parOP",0.520787559005818,5.94651358008489e-69
"L.parsORB","L.paraCEN",0.513084090903631,1.20092926040096e-66
"L.parsORB","R.parsTRI",0.614709308605754,1.73422434880935e-102
"L.parsORB","R.medorbF",0.452089930331406,2.47098788375605e-50
"L.parsORB","R.CN",0.288257861585684,3.94001583288207e-20
"L.parsORB","L.INS",0.240951953075102,2.33603129943143e-14
"R.parsORB","L.cauantCG",0.0324515125339316,0.31116276823115
"R.parsORB","L.parsORB",0.636751052081785,4.28543962213368e-112
"R.parsORB","R.parsORB",0.866672790099063,2.06637764564286e-296
"R.parsORB","L.preCN",0.406843200419335,3.35053179524937e-40
"R.parsORB","R.ENT",0.0946938543053504,0.00306447131292322
"R.parsORB","L.CN",0.239321389924506,3.52449204934592e-14
"R.parsORB","R.periCAL",0.150549307721016,2.30984657437458e-06
"R.parsORB","L.rosantCG",0.144565201439165,5.77639159893739e-06
"R.parsORB","L.caumidF",0.440483718519975,1.38088428927297e-47
"R.parsORB","R.rosantCG",0.179884168598497,1.5245267126347e-08
"R.parsORB","L.latO",0.243543201839008,1.20753647575706e-14
"R.parsORB","L.FUS",0.259861397786231,1.58311571756715e-16
"R.parsORB","R.LG",0.272202904885379,4.84447124180124e-18
"R.parsORB","R.postCEN",0.323422553742577,3.35633391578942e-25
"R.parsORB","L.periCAL",0.159810555693386,5.20681795480773e-07
"R.parsORB","L.SM",0.486831651369121,3.21216351800423e-59
"R.parsORB","L.parOP",0.485520999076641,7.25989959296592e-59
"R.parsORB","L.supP",0.409095820168301,1.13863203128255e-40
"R.parsORB","R.posCG",0.154622932619003,1.21238814963904e-06
"R.parsORB","L.ENT",0.099588097699458,0.00183950404067655
"R.parsORB","R.FUS",0.26180753095018,9.24621966040903e-17
"R.parsORB","R.supP",0.398590897450442,1.62875267022753e-38
"R.parsORB","R.supT",0.335200197243649,4.68110300817983e-27
"R.parsORB","R.rosmidF",0.67595941057112,2.85324014635111e-131
"R.parsORB","R.preCEN",0.385047317384393,7.56290361369462e-36
"R.parsORB","L.latorbF",0.556999965831375,1.27025493181409e-80
"R.parsORB","L.transT",0.220282836650265,3.43456993686609e-12
"R.parsORB","L.posCG",0.128800190521328,5.44838270555517e-05
"R.parsORB","R.transT",0.262820155604134,6.97704396142223e-17
"R.parsORB","R.preCN",0.412970955676813,1.74420302572179e-41
